dataset,purity,runs,mean_accuracy,std_accuracy,mean_gap,mean_granules,mean_runtime
openml-1462-banknote-authentication,0.6,3,0.5631067961165048,0.01890505088276362,-0.4368932038834952,2,0.40378933333333333
openml-1462-banknote-authentication,0.7,3,0.7184466019417476,0.10948368818147101,-0.28155339805825247,4,0.145348
openml-1462-banknote-authentication,0.8,3,0.8511326860841424,0.04831391141370103,-0.1488673139158576,7,0.14767133333333332
openml-1462-banknote-authentication,0.85,3,0.9199029126213593,0.04138094450661623,-0.08009708737864074,10.333333333333334,0.147829
openml-1462-banknote-authentication,0.9,3,0.9474110032362459,0.022097896899268055,-0.052588996763754024,13,0.153412
openml-1462-banknote-authentication,0.95,3,0.9854368932038835,0.005243317717158461,-0.014563106796116498,18.333333333333332,0.15044766666666667
openml-1462-banknote-authentication,1.0,3,0.9878640776699029,0.009081692686344513,-0.012135922330097082,36,0.15194266666666667
openml-1489-phoneme,0.6,3,0.7066666666666667,0.0,-0.20044444444444445,1,0.5315983333333334
openml-1489-phoneme,0.7,3,0.7066666666666667,0.0,-0.20044444444444445,1,0.5238273333333333
openml-1489-phoneme,0.8,3,0.8337777777777778,0.011942247860039475,-0.07333333333333332,337.6666666666667,0.6287926666666667
openml-1489-phoneme,0.85,3,0.8593333333333333,0.009568466729604892,-0.04777777777777781,547,0.6810436666666667
openml-1489-phoneme,0.9,3,0.8644444444444445,0.007875575620741909,-0.042666666666666665,646.3333333333334,0.694726
openml-1489-phoneme,0.95,3,0.8695555555555555,0.01111999644728604,-0.0375555555555556,799.6666666666666,0.7235676666666667
openml-1489-phoneme,1.0,3,0.876,0.008554834024408937,-0.031111111111111128,955.3333333333334,0.749795
openml-151-electricity,0.6,3,0.6535555555555556,0.008171011693711224,-0.16955555555555554,71.33333333333333,0.634724
openml-151-electricity,0.7,3,0.6773333333333333,0.0024944382578492965,-0.1457777777777777,512.6666666666666,0.7266203333333333
openml-151-electricity,0.8,3,0.676,0.009797958971132675,-0.14711111111111108,1046,0.8205373333333333
openml-151-electricity,0.85,3,0.6882222222222223,0.012953859237146374,-0.13488888888888884,1330,0.8721353333333334
openml-151-electricity,0.9,3,0.6875555555555556,0.017824937449027065,-0.13555555555555554,1526.6666666666667,0.8875826666666666
openml-151-electricity,0.95,3,0.6833333333333333,0.01019803902718558,-0.13977777777777775,1686.6666666666667,0.9174423333333334
openml-151-electricity,1.0,3,0.6853333333333333,0.016083117442419772,-0.13777777777777775,1721.6666666666667,0.932793
openml-40-sonar,0.6,3,0.6243386243386243,0.08821868783350831,-0.24867724867724864,5.666666666666667,0.12036733333333334
openml-40-sonar,0.7,3,0.656084656084656,0.08332283464562762,-0.21693121693121695,16,0.12357233333333333
openml-40-sonar,0.8,3,0.7248677248677249,0.03959425806109991,-0.1481481481481481,34,0.128788
openml-40-sonar,0.85,3,0.7301587301587301,0.034289633324909294,-0.14285714285714282,41.333333333333336,0.13252
openml-40-sonar,0.9,3,0.7724867724867724,0.026978939225358656,-0.10052910052910051,49.333333333333336,0.13406333333333334
openml-40-sonar,0.95,3,0.7407407407407407,0.0416614173228138,-0.13227513227513224,61.666666666666664,0.13956533333333332
openml-40-sonar,1.0,3,0.746031746031746,0.03428963332490933,-0.12698412698412698,62.333333333333336,0.13693466666666668
openml-59-ionosphere,0.6,3,0.6415094339622641,0.0,-0.30817610062893086,1,0.12419633333333333
openml-59-ionosphere,0.7,3,0.7515723270440251,0.016034652558467925,-0.19811320754716985,5,0.125529
openml-59-ionosphere,0.8,3,0.761006289308176,0.03640200283896301,-0.1886792452830189,14,0.13021933333333333
openml-59-ionosphere,0.85,3,0.7735849056603774,0.10701068885014818,-0.1761006289308176,21.333333333333332,0.13247933333333334
openml-59-ionosphere,0.9,3,0.7515723270440252,0.09286052239140506,-0.1981132075471698,42,0.137496
openml-59-ionosphere,0.95,3,0.7830188679245284,0.015405595866560866,-0.16666666666666663,53,0.13936733333333334
openml-59-ionosphere,1.0,3,0.779874213836478,0.05832464462575918,-0.16981132075471697,63,0.14258433333333334
