case,method,runs,mean_accuracy,mean_reference_accuracy,mean_accuracy_gap,negative_gap_runs,mean_granules,mean_uncertain_ratio
cb02,adaptive,5,0.9133333333333333,0.9588888888888889,-0.04555555555555555,5,33.6,0.08142857142857143
cb02,original,5,0.9355555555555556,0.9588888888888889,-0.023333333333333338,2,7.2,0.0
cb04,adaptive,5,0.8288888888888889,0.9055555555555556,-0.07666666666666666,5,86.6,0.14761904761904762
cb04,original,5,0.8522222222222222,0.9055555555555556,-0.05333333333333332,5,84.8,0.0
cb06,adaptive,5,0.7888888888888889,0.8144444444444444,-0.025555555555555554,4,120.2,0.21476190476190476
cb06,original,5,0.8266666666666667,0.8144444444444444,0.012222222222222223,1,159,0.0
gx10,adaptive,5,1.0,1.0,0.0,0,4,0.0
gx10,original,5,1.0,1.0,0.0,0,4,0.0
gx25,adaptive,5,1.0,1.0,0.0,0,5.4,0.0
gx25,original,5,1.0,1.0,0.0,0,4,0.0
gx40,adaptive,5,0.9611111111111111,0.9822222222222222,-0.0211111111111111,4,11.8,0.02523809523809524
gx40,original,5,0.9788888888888889,0.9822222222222222,-0.0033333333333333214,3,4,0.0
sw04,adaptive,5,0.8755555555555555,0.9455555555555556,-0.06999999999999999,5,40,0.09428571428571429
sw04,original,5,0.8988888888888888,0.9455555555555556,-0.046666666666666655,5,40.2,0.0
sw08,adaptive,5,0.7955555555555556,0.8833333333333333,-0.08777777777777776,5,85,0.12095238095238095
sw08,original,5,0.8155555555555556,0.8833333333333333,-0.06777777777777776,5,87.6,0.0
sw12,adaptive,5,0.7388888888888889,0.8266666666666667,-0.08777777777777776,5,95.8,0.33714285714285713
sw12,original,5,0.7711111111111111,0.8266666666666667,-0.05555555555555554,5,143.4,0.0
