key,runs,mean_accuracy,mean_reference_accuracy,mean_accuracy_gap,negative_gap_runs,mean_granules
cb02/adaptive,5,0.9244444444444444,0.9588888888888889,-0.03444444444444448,4,33.6
cb02/original,5,0.9311111111111111,0.9588888888888889,-0.02777777777777779,2,7.2
cb04/adaptive,5,0.86,0.9055555555555556,-0.0455555555555555,5,86.6
cb04/original,5,0.8811111111111112,0.9055555555555556,-0.02444444444444438,4,84.8
cb06/adaptive,5,0.8066666666666666,0.8144444444444444,-0.007777777777777772,3,120.2
cb06/original,5,0.8388888888888889,0.8144444444444444,0.024444444444444425,0,159
gx10/adaptive,5,1.0,1.0,0.0,0,4
gx10/original,5,1.0,1.0,0.0,0,4
gx25/adaptive,5,1.0,1.0,0.0,0,5.4
gx25/original,5,1.0,1.0,0.0,0,4
gx40/adaptive,5,0.9644444444444444,0.9822222222222222,-0.01777777777777776,3,11.8
gx40/original,5,0.9777777777777777,0.9822222222222222,-0.004444444444444429,4,4
sw04/adaptive,5,0.8966666666666667,0.9455555555555556,-0.04888888888888887,5,40
sw04/original,5,0.9144444444444444,0.9455555555555556,-0.03111111111111111,5,40.2
sw08/adaptive,5,0.8466666666666667,0.8833333333333333,-0.036666666666666646,5,85
sw08/original,5,0.8477777777777777,0.8833333333333333,-0.03555555555555552,5,87.6
sw12/adaptive,5,0.768888888888889,0.8266666666666667,-0.05777777777777773,4,95.8
sw12/original,5,0.7966666666666666,0.8266666666666667,-0.02999999999999998,5,143.4
