dimension,overlap,method,runs,mean_accuracy,std_accuracy,mean_reference_accuracy,mean_accuracy_gap,negative_gap_runs,mean_granules,mean_uncertain_ratio
2,0.05,adaptive,5,0.9306666666666666,0.015549205052920807,0.9613333333333333,-0.03066666666666664,5,41.8,0.036000000000000004
2,0.05,original,5,0.932,0.03109841010584159,0.9613333333333333,-0.029333333333333277,3,8.8,0.0
2,0.25,adaptive,5,0.764,0.03335998934185814,0.8213333333333334,-0.05733333333333335,5,90.6,0.22285714285714286
2,0.25,original,5,0.736,0.06430482960953332,0.8213333333333334,-0.08533333333333334,5,95,0.0
5,0.05,adaptive,5,0.916,0.030579586509812563,0.96,-0.04399999999999997,5,52.2,0.13085714285714287
5,0.05,original,5,0.9413333333333334,0.011469767022723495,0.96,-0.018666666666666675,3,31.6,0.0
5,0.25,adaptive,5,0.7373333333333334,0.034149995932975206,0.8253333333333334,-0.088,5,103.8,0.24285714285714285
5,0.25,original,5,0.736,0.02686592223947983,0.8253333333333334,-0.08933333333333335,5,93.4,0.0
10,0.05,adaptive,5,0.9293333333333333,0.029992591677871983,0.9573333333333334,-0.028000000000000025,5,113.6,0.04685714285714286
10,0.05,original,5,0.9279999999999999,0.01484737163421338,0.9573333333333334,-0.029333333333333367,5,23.6,0.0
10,0.25,adaptive,5,0.76,0.0345124776147861,0.824,-0.06399999999999999,5,182.2,0.124
10,0.25,original,5,0.7386666666666667,0.05552176750308539,0.824,-0.08533333333333334,5,102.2,0.0
20,0.05,adaptive,5,0.92,0.019776529298921746,0.96,-0.040000000000000015,5,74.2,0.045142857142857144
20,0.05,original,5,0.9306666666666666,0.025508168626278662,0.96,-0.029333333333333343,5,10.6,0.0
20,0.25,adaptive,5,0.74,0.05024384981711139,0.8240000000000001,-0.084,5,138.6,0.19028571428571428
20,0.25,original,5,0.748,0.043287154881994465,0.8240000000000001,-0.07600000000000004,5,91,0.0
50,0.05,adaptive,5,0.9186666666666666,0.01292714628644354,0.96,-0.041333333333333375,5,67,0.12457142857142858
50,0.05,original,5,0.9466666666666667,0.012649110640673518,0.96,-0.01333333333333333,3,30.4,0.0
50,0.25,adaptive,5,0.7853333333333333,0.038964371189873226,0.8226666666666667,-0.03733333333333333,4,77,0.4057142857142857
50,0.25,original,5,0.724,0.04668571040003095,0.8226666666666667,-0.09866666666666671,5,92,0.0
100,0.05,adaptive,5,0.92,0.03183289703016886,0.9586666666666667,-0.03866666666666667,5,88,0.05085714285714286
100,0.05,original,5,0.9266666666666666,0.02231093404090869,0.9586666666666667,-0.03199999999999999,5,14.6,0.0
100,0.25,adaptive,5,0.76,0.04109609335312652,0.8213333333333334,-0.06133333333333335,5,160.2,0.13142857142857142
100,0.25,original,5,0.724,0.05926962872238097,0.8213333333333334,-0.09733333333333338,5,90.2,0.0
500,0.05,adaptive,5,0.9346666666666666,0.01484737163421336,0.9573333333333334,-0.02266666666666668,4,83.2,0.04971428571428572
500,0.05,original,5,0.9373333333333334,0.022548712700383684,0.9573333333333334,-0.019999999999999997,4,14.8,0.0
500,0.25,adaptive,5,0.7333333333333333,0.025647178748895112,0.8226666666666667,-0.08933333333333333,5,161.4,0.05942857142857143
500,0.25,original,5,0.728,0.041182520563948,0.8226666666666667,-0.09466666666666668,5,101,0.0
