key,runs,mean_accuracy,mean_reference_accuracy,mean_accuracy_gap,negative_gap_runs,mean_granules
d002/o05/adaptive,5,0.9333333333333333,0.9613333333333333,-0.02799999999999996,4,41.8
d002/o05/original,5,0.928,0.9613333333333333,-0.033333333333333305,4,8.8
d002/o25/adaptive,5,0.7853333333333333,0.8213333333333334,-0.03599999999999999,5,90.6
d002/o25/original,5,0.7786666666666666,0.8213333333333334,-0.04266666666666667,5,95
d005/o05/adaptive,5,0.9306666666666666,0.96,-0.0293333333333333,5,52.2
d005/o05/original,5,0.9480000000000001,0.96,-0.011999999999999966,4,31.6
d005/o25/adaptive,5,0.7893333333333333,0.8253333333333334,-0.03600000000000003,5,103.8
d005/o25/original,5,0.7906666666666666,0.8253333333333334,-0.034666666666666665,5,93.4
d010/o05/adaptive,5,0.9413333333333334,0.9573333333333334,-0.016000000000000014,4,113.6
d010/o05/original,5,0.9413333333333334,0.9573333333333334,-0.015999999999999993,4,23.6
d010/o25/adaptive,5,0.7853333333333333,0.824,-0.03866666666666665,5,182.2
d010/o25/original,5,0.78,0.824,-0.044,5,102.2
d020/o05/adaptive,5,0.94,0.96,-0.020000000000000018,5,74.2
d020/o05/original,5,0.936,0.96,-0.024,4,10.6
d020/o25/adaptive,5,0.7853333333333333,0.8240000000000001,-0.038666666666666696,4,138.6
d020/o25/original,5,0.7893333333333333,0.8240000000000001,-0.03466666666666669,4,91
d050/o05/adaptive,5,0.9293333333333333,0.96,-0.03066666666666671,5,67
d050/o05/original,5,0.9386666666666666,0.96,-0.02133333333333336,4,30.4
d050/o25/adaptive,5,0.7973333333333333,0.8226666666666667,-0.02533333333333332,4,77
d050/o25/original,5,0.7853333333333333,0.8226666666666667,-0.03733333333333335,4,92
d100/o05/adaptive,5,0.9333333333333333,0.9586666666666667,-0.02533333333333332,4,88
d100/o05/original,5,0.9346666666666666,0.9586666666666667,-0.02400000000000002,4,14.6
d100/o25/adaptive,5,0.7813333333333333,0.8213333333333334,-0.040000000000000015,5,160.2
d100/o25/original,5,0.7906666666666666,0.8213333333333334,-0.030666666666666686,4,90.2
d500/o05/adaptive,5,0.936,0.9573333333333334,-0.021333333333333336,4,83.2
d500/o05/original,5,0.94,0.9573333333333334,-0.017333333333333357,4,14.8
d500/o25/adaptive,5,0.7693333333333333,0.8226666666666667,-0.05333333333333332,5,161.4
d500/o25/original,5,0.7813333333333333,0.8226666666666667,-0.04133333333333333,5,101
