dataset,delta,runs,fallback_runs,mean_observation_fraction,mean_accuracy_delta,mean_granules
openml-1462-banknote-authentication,0.1,3,3,1.0,0.0,19.333333333333332
openml-1462-banknote-authentication,0.2,3,3,1.0,0.0,19.333333333333332
openml-1489-phoneme,0.1,3,3,1.0,0.0,550.3333333333334
openml-1489-phoneme,0.2,3,3,1.0,0.0,550.3333333333334
openml-151-electricity,0.1,3,3,1.0,0.0,1766
openml-151-electricity,0.2,3,3,1.0,0.0,1766
openml-40-sonar,0.1,3,3,1.0,0.0,56
openml-40-sonar,0.2,3,3,1.0,0.0,56
openml-59-ionosphere,0.1,3,3,1.0,0.0,19
openml-59-ionosphere,0.2,3,3,1.0,0.0,19
