dataset,alpha,runs,gbc_coverage,gbc_set_size,gbc_singleton_ratio,rf_coverage,rf_set_size,rf_singleton_ratio
openml-1462-banknote-authentication,0.1,3,0.945578231292517,0.9757045675413022,0.9757045675413022,0.9067055393586005,0.9067055393586005,0.9067055393586005
openml-1462-banknote-authentication,0.2,3,0.923226433430515,0.9504373177842566,0.9504373177842566,0.7949465500485908,0.7949465500485908,0.7949465500485908
openml-1489-phoneme,0.1,3,0.9072,1.2,0.8,0.9117333333333333,1.0288,0.9712
openml-1489-phoneme,0.2,3,0.8109333333333334,0.932,0.932,0.8034666666666667,0.8549333333333333,0.8549333333333333
openml-151-electricity,0.1,3,1.0,2.0,0.0,0.8954666666666666,1.1936,0.8064
openml-151-electricity,0.2,3,0.9357333333333333,1.7890666666666666,0.21093333333333333,0.7866666666666666,0.9472,0.9472
openml-40-sonar,0.1,3,0.891025641025641,1.6666666666666667,0.3333333333333333,0.9423076923076923,1.3717948717948718,0.6282051282051282
openml-40-sonar,0.2,3,0.7628205128205129,1.25,0.75,0.8076923076923077,1.064102564102564,0.9358974358974359
openml-59-ionosphere,0.1,3,0.9924242424242424,1.8484848484848486,0.15151515151515152,0.8901515151515151,0.9318181818181818,0.9318181818181818
openml-59-ionosphere,0.2,3,0.9507575757575758,1.6590909090909092,0.3409090909090909,0.7992424242424242,0.8143939393939393,0.8143939393939393
