dataset,method,purity,configured_runs,successful_runs,failures,mean_accuracy,mean_granules
openml-1479-hill-valley,accelerated,0.7,5,5,0,0.5082417582417582,301.6
openml-1479-hill-valley,accelerated,0.85,5,5,0,0.5126373626373627,507.2
openml-1479-hill-valley,accelerated,1.0,5,5,0,0.49945054945054945,528
openml-1479-hill-valley,original,0.7,5,5,0,0.49725274725274726,380.8
openml-1479-hill-valley,original,0.85,5,5,0,0.5164835164835165,612
openml-1479-hill-valley,original,1.0,5,5,0,0.5148351648351649,633.4
openml-1494-qsar-biodeg,accelerated,0.7,5,5,0,0.7760252365930599,37.4
openml-1494-qsar-biodeg,accelerated,0.85,5,5,0,0.8264984227129337,129.8
openml-1494-qsar-biodeg,accelerated,1.0,5,5,0,0.8384858044164037,249.6
openml-1494-qsar-biodeg,original,0.7,5,5,0,0.7198738170347003,21.2
openml-1494-qsar-biodeg,original,0.85,5,5,0,0.807570977917981,171.4
openml-1494-qsar-biodeg,original,1.0,5,5,0,0.8239747634069401,300.4
openml-44-spambase,accelerated,0.7,5,5,0,0.7960897900072411,30.2
openml-44-spambase,accelerated,0.85,5,5,0,0.8518464880521361,283.8
openml-44-spambase,accelerated,1.0,5,0,5,,
openml-44-spambase,original,0.7,5,5,0,0.785228095582911,3
openml-44-spambase,original,0.85,5,5,0,0.8209992758870384,464.6
openml-44-spambase,original,1.0,5,5,0,0.8366401158580739,1004.2
