v1_id,v2_id,nearest_center_gap,center_minus_radius_gap,gap_shift,sign_flip,failure_threshold_flip
xorv1-d002-o05-adaptive-s1,xorv2-d002-o05-adaptive-s1,-0.026666666666666616,0.00666666666666671,0.033333333333333326,1,0
xorv1-d002-o05-adaptive-s2026,xorv2-d002-o05-adaptive-s2026,-0.039999999999999925,-0.039999999999999925,0.0,0,0
xorv1-d002-o05-adaptive-s21,xorv2-d002-o05-adaptive-s21,-0.013333333333333308,-0.013333333333333308,0.0,0,0
xorv1-d002-o05-adaptive-s42,xorv2-d002-o05-adaptive-s42,-0.033333333333333326,-0.046666666666666634,-0.013333333333333308,0,0
xorv1-d002-o05-adaptive-s7,xorv2-d002-o05-adaptive-s7,-0.040000000000000036,-0.046666666666666634,-0.006666666666666599,0,0
xorv1-d002-o05-original-s1,xorv2-d002-o05-original-s1,0.01333333333333342,0.00666666666666671,-0.00666666666666671,0,0
xorv1-d002-o05-original-s2026,xorv2-d002-o05-original-s2026,0.0,-0.013333333333333308,-0.013333333333333308,1,0
xorv1-d002-o05-original-s21,xorv2-d002-o05-original-s21,-0.039999999999999925,-0.046666666666666634,-0.00666666666666671,0,0
xorv1-d002-o05-original-s42,xorv2-d002-o05-original-s42,-0.05999999999999994,-0.053333333333333344,0.006666666666666599,0,0
xorv1-d002-o05-original-s7,xorv2-d002-o05-original-s7,-0.05999999999999994,-0.05999999999999994,0.0,0,0
xorv1-d002-o25-adaptive-s1,xorv2-d002-o25-adaptive-s1,-0.08000000000000007,-0.046666666666666745,0.033333333333333326,0,1
xorv1-d002-o25-adaptive-s2026,xorv2-d002-o25-adaptive-s2026,-0.026666666666666616,-0.006666666666666599,0.020000000000000018,0,0
xorv1-d002-o25-adaptive-s21,xorv2-d002-o25-adaptive-s21,-0.08666666666666667,-0.039999999999999925,0.046666666666666745,0,1
xorv1-d002-o25-adaptive-s42,xorv2-d002-o25-adaptive-s42,-0.033333333333333326,-0.006666666666666599,0.026666666666666727,0,0
xorv1-d002-o25-adaptive-s7,xorv2-d002-o25-adaptive-s7,-0.06000000000000005,-0.08000000000000007,-0.020000000000000018,0,0
xorv1-d002-o25-original-s1,xorv2-d002-o25-original-s1,-0.040000000000000036,-0.040000000000000036,0.0,0,0
xorv1-d002-o25-original-s2026,xorv2-d002-o25-original-s2026,-0.09999999999999998,-0.053333333333333344,0.046666666666666634,0,0
