dataset,lambda,runs,selected_purities,mean_brier_delta,max_brier_delta,mean_ece_delta,mean_accuracy_delta,min_accuracy_delta,mean_granules,mean_baseline_granules
openml-1462-banknote-authentication,0.0,3,1.0;1.0;1.0,-0.02224987259630611,-0.014694050720834741,-0.009280924986032493,0.023323615160349864,0.014577259475218707,42.666666666666664,19.333333333333332
openml-1462-banknote-authentication,0.02,3,1.0;1.0;1.0,-0.02224987259630611,-0.014694050720834741,-0.009280924986032493,0.023323615160349864,0.014577259475218707,42.666666666666664,19.333333333333332
openml-1462-banknote-authentication,0.1,3,1.0;1.0;1.0,-0.02224987259630611,-0.014694050720834741,-0.009280924986032493,0.023323615160349864,0.014577259475218707,42.666666666666664,19.333333333333332
openml-1489-phoneme,0.0,3,0.85;0.95;1.0,-0.0190692662551878,0.0,0.019100707211457017,0.02746666666666664,0.0,856,550.3333333333334
openml-1489-phoneme,0.02,3,0.85;0.95;0.9,-0.017798486080812217,0.0,0.008608431231460772,0.02533333333333332,0.0,747.3333333333334,550.3333333333334
openml-1489-phoneme,0.1,3,0.85;0.8;0.8,0.0013277468600979097,0.005951844357160979,-0.012096389469014762,-0.00826666666666668,-0.013600000000000056,428.3333333333333,550.3333333333334
openml-151-electricity,0.0,3,0.6;0.6;0.6,-0.06488113673034555,-0.057186770586776264,-0.24387261264294444,-0.04826666666666668,-0.052000000000000046,83.33333333333333,1766
openml-151-electricity,0.02,3,0.6;0.6;0.6,-0.06488113673034555,-0.057186770586776264,-0.24387261264294444,-0.04826666666666668,-0.052000000000000046,83.33333333333333,1766
openml-151-electricity,0.1,3,0.6;0.6;0.6,-0.06488113673034555,-0.057186770586776264,-0.24387261264294444,-0.04826666666666668,-0.052000000000000046,83.33333333333333,1766
openml-40-sonar,0.0,3,0.95;0.85;0.9,0.026994597456422714,0.05394794241675152,0.038771212684256116,-0.012820512820512811,-0.038461538461538436,60.333333333333336,56
openml-40-sonar,0.02,3,0.95;0.85;0.9,0.026994597456422714,0.05394794241675152,0.038771212684256116,-0.012820512820512811,-0.038461538461538436,60.333333333333336,56
openml-40-sonar,0.1,3,0.6;0.7;0.9,0.02522979107816838,0.027035849952516622,-0.03850721656950755,-0.0641025641025641,-0.13461538461538458,31,56
openml-59-ionosphere,0.0,3,0.7;1.0;0.8,0.08761067738082456,0.292691172260964,0.09496818671902502,-0.10606060606060608,-0.2727272727272728,35.666666666666664,19
openml-59-ionosphere,0.02,3,0.7;1.0;0.8,0.08761067738082456,0.292691172260964,0.09496818671902502,-0.10606060606060608,-0.2727272727272728,35.666666666666664,19
openml-59-ionosphere,0.1,3,0.7;1.0;0.8,0.08761067738082456,0.292691172260964,0.09496818671902502,-0.10606060606060608,-0.2727272727272728,35.666666666666664,19
