dataset,rule,selected_purities,mean_accuracy_delta,min_accuracy_delta,mean_granules,mean_baseline_granules
openml-1462-banknote-authentication,curvature,0.7;0.8;0.8,-0.045675413022351785,-0.09037900874635574,10.333333333333334,19.333333333333332
openml-1462-banknote-authentication,knee,0.8;0.7;0.7,-0.07191448007774537,-0.09037900874635563,8.333333333333334,19.333333333333332
openml-1462-banknote-authentication,plateau_1pct,0.9;0.95;1.0,0.020408163265306145,0.008746355685131268,35.333333333333336,19.333333333333332
openml-1489-phoneme,curvature,0.7;0.7;0.7,-0.13199999999999998,-0.15759999999999996,1,550.3333333333334
openml-1489-phoneme,knee,0.85;0.95;0.9,0.02533333333333332,0.0,747.3333333333334,550.3333333333334
openml-1489-phoneme,plateau_1pct,0.85;0.9;0.9,0.024533333333333334,0.0,698.6666666666666,550.3333333333334
openml-151-electricity,curvature,0.8;0.85;0.8,-0.0015999999999999719,-0.005599999999999938,1501.3333333333333,1766
openml-151-electricity,knee,0.85;0.85;0.8,-0.001866666666666646,-0.005599999999999938,1604.3333333333333,1766
openml-151-electricity,plateau_1pct,0.85;0.85;0.8,-0.001866666666666646,-0.005599999999999938,1604.3333333333333,1766
openml-40-sonar,curvature,0.9;0.85;0.85,-0.012820512820512811,-0.038461538461538436,57.666666666666664,56
openml-40-sonar,knee,0.6;0.85;0.6,-0.1282051282051282,-0.25,24.333333333333332,56
openml-40-sonar,plateau_1pct,0.95;0.85;0.9,-0.012820512820512811,-0.038461538461538436,60.333333333333336,56
openml-59-ionosphere,curvature,0.85;0.9;0.8,-0.08712121212121211,-0.26136363636363635,20,19
openml-59-ionosphere,knee,0.7;0.7;0.8,-0.04545454545454545,-0.09090909090909094,9.333333333333334,19
openml-59-ionosphere,plateau_1pct,0.9;1.0;0.8,-0.11742424242424243,-0.2727272727272728,51.333333333333336,19
