dataset,setting,runs,mean_accuracy_delta,max_accuracy_delta,mean_brier_delta,mean_granules,mean_baseline_granules
openml-1489-phoneme,min10_cost0,3,-0.041066666666666696,-0.030399999999999983,0.018938886146844233,43.666666666666664,436.55555555555554
openml-1489-phoneme,min20_cost0,3,-0.06000000000000002,-0.048799999999999955,0.026529571918446432,23.11111111111111,436.55555555555554
openml-1489-phoneme,min20_cost0.5,3,-0.05760000000000006,-0.04480000000000006,0.027382454096159903,20.88888888888889,436.55555555555554
openml-1489-phoneme,min20_cost2.0,3,-0.07040000000000002,-0.057599999999999985,0.034962488047356154,9.555555555555555,436.55555555555554
openml-1489-phoneme,min5_cost0,3,-0.02426666666666673,-0.012800000000000034,0.007978704032233089,98.55555555555556,436.55555555555554
openml-151-electricity,min10_cost0,3,-0.05279999999999999,-0.0464,-0.008739763607457096,51.111111111111114,1213.3333333333333
openml-151-electricity,min20_cost0,3,-0.058133333333333294,-0.05120000000000002,-0.005993083610958877,27.333333333333332,1213.3333333333333
openml-151-electricity,min20_cost0.5,3,-0.058666666666666645,-0.04959999999999998,-0.005932129216874156,26.666666666666664,1213.3333333333333
openml-151-electricity,min20_cost2.0,3,-0.0682666666666667,-0.06400000000000006,-0.0036712277887149167,19.555555555555557,1213.3333333333333
openml-151-electricity,min5_cost0,3,-0.041600000000000005,-0.03920000000000001,-0.012180951486948486,93.55555555555556,1213.3333333333333
openml-59-ionosphere,min10_cost0,3,-0.015151515151515138,0.011363636363636354,0.005289838068140419,8.777777777777779,21.666666666666664
openml-59-ionosphere,min20_cost0,3,-0.022727272727272707,-0.011363636363636354,0.0070690078145895325,6.777777777777778,21.666666666666664
openml-59-ionosphere,min20_cost0.5,3,-0.015151515151515138,-0.011363636363636354,0.00816644485101987,4.222222222222222,21.666666666666664
openml-59-ionosphere,min20_cost2.0,3,-0.018939393939393923,-0.011363636363636354,0.0076052069699164655,3.111111111111111,21.666666666666664
openml-59-ionosphere,min5_cost0,3,-0.015151515151515138,0.011363636363636354,-0.0014961027790146668,11.222222222222221,21.666666666666664
