experiment_id,dataset,seed,method,n_groups,purity_threshold,variant,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-anti-gb-v1-adult-s1,adult,1,granular_ball,218,0.8,R8_center_radius_count_purity,0.675,0.5837584045584046,0.585340180536506,-0.04724744888007407,0.218,0.07302246002886684,0.545,0.6711210586814247,0.6672100000000001,-0.021318079587458533,-0.038481130057844946,0.05854900392679682,2.113781951684783,0.814,0.700262995049505
privacy-anti-gb-v1-adult-s1,adult,1,hierarchical,218,0.8,matched_full,0.966,0.9648159544159542,0.961436556329849,-0.18793322585546315,0.218,0.02674263281324267,0.559,0.774646078196968,0.8079464999999999,-0.05273410698364636,-0.21443725086632257,0.020733437957079576,1.3411233545814012,0.799,0.7225194132873167
privacy-anti-gb-v1-adult-s1,adult,1,hierarchical_average,218,0.8,matched_full,0.912,0.9097686609686609,0.9000322623153436,-0.5525671293122886,0.218,0.03327786356446315,0.5415,0.6941404857816849,0.684542,0.3668172632366028,-0.5705228471652056,0.024685638112128372,1.4231753289329585,0.806,0.7024083448381654
privacy-anti-gb-v1-adult-s1,adult,1,hierarchical_complete,218,0.8,matched_full,0.943,0.9479361823361824,0.9354998591181134,-0.33685108501629996,0.218,0.02925030492142899,0.519,0.7007145737018822,0.6857949999999999,0.23497965484579053,-0.3380781519931551,0.022204297498129476,1.3864880711515661,0.814,0.713641738102276
privacy-anti-gb-v1-adult-s1,adult,1,kmeans,218,0.8,R4_center_radius_count,0.951,0.94714301994302,0.9444665444930646,-0.4410552488572567,0.218,0.028342586853605554,0.5235,0.7222389359240404,0.704785,0.23927841315043644,-0.4297092101685013,0.022422496631805802,1.3601055232743338,0.803,0.7188890839066141
privacy-anti-gb-v1-adult-s1,adult,1,kmeans_tuned,218,0.8,matched_full,0.944,0.9448000000000001,0.9371563236449332,-0.6226014237321573,0.218,0.027664933686780066,0.5235,0.7541011410596781,0.7738380000000001,0.279064170450579,-0.6049660533194521,0.02235509010656849,1.3572706345395062,0.798,0.696658437400513
privacy-anti-gb-v1-adult-s1,adult,1,knn_local_prototypes,218,0.8,matched_full,0.911,0.9184,0.8980002315050926,-0.5276879298564398,0.218,0.03184417149331812,0.5305,0.6861113796609302,0.6861849999999999,0.2863986689936084,-0.49957051153617954,0.02518119390358388,1.4544857210735944,0.786,0.6681059083351943
privacy-anti-gb-v1-adult-s1,adult,1,oracle_supervised,218,0.8,matched_full,0.933,0.9217618233618233,0.9241840449283086,-0.3691735707426626,0.218,0.029966722187517256,0.52,0.7350995340922674,0.760271,,-0.39018467368322146,0.023792516193042665,1.4120205653030653,0.769,0.6932234249811751
privacy-anti-gb-v1-adult-s1,adult,1,random,218,0.8,matched_full,0.699,0.7233071225071225,0.6804396131726826,-0.5183190423733917,0.218,0.13485508957383283,0.5105,0.524285956424848,0.521267,-0.0006464844888608939,0.29005282504803126,0.2213511840068526,4.512875893759082,0.751,0.46186712656496176
privacy-anti-gb-v1-adult-s1,adult,1,tree,130,0.8,matched_full,0.71,0.8116991452991453,0.7050147492625369,-0.27160772863547794,0.13,0.06907440547336276,0.5795,0.6277932379473239,0.598101,-0.25590244311335436,0.0480601947315954,0.07583626849603861,2.46208652283851,0.765,0.7022749990814867
privacy-anti-gb-v1-adult-s1,adult,1,granular_ball,278,0.9,R8_center_radius_count_purity,0.677,0.5845584045584047,0.5849177353214446,-0.15799563795421506,0.278,0.0713816401441692,0.5595,0.7012163019260194,0.697802,0.032195504349533666,-0.13822763824834622,0.05637117890716842,2.0274277489511894,0.788,0.6056547619047619
privacy-anti-gb-v1-adult-s1,adult,1,hierarchical,278,0.9,matched_full,0.974,0.9725811965811967,0.9705103077816493,-0.35859460306766755,0.278,0.021889952628159765,0.521,0.7710906019896673,0.756257,0.24108757009339168,-0.31531965230661985,0.01683669062117797,1.1917985134869802,0.802,0.7161290322580646
privacy-anti-gb-v1-adult-s1,adult,1,hierarchical_average,278,0.9,matched_full,0.951,0.9558655270655271,0.9442922903940582,-0.5625808725906378,0.278,0.026665448659917844,0.559,0.7658056334859779,0.7816625,0.3435261707444111,-0.5765718145317162,0.01980079469195711,1.244512296433941,0.812,0.7186572167416914
privacy-anti-gb-v1-adult-s1,adult,1,hierarchical_complete,278,0.9,matched_full,0.96,0.9603076923076923,0.9547715965626413,-0.3987174343981811,0.278,0.023756210440916158,0.5325,0.7265864961082267,0.6953,0.2158598711340455,-0.40327329175022963,0.01783229082004691,1.2193431725874777,0.797,0.7008154620927295
privacy-anti-gb-v1-adult-s1,adult,1,kmeans,278,0.9,R4_center_radius_count,0.963,0.9566883190883191,0.9579349947873501,-0.5196745890215589,0.278,0.023469144641770075,0.536,0.7924450389205462,0.810844,0.23065900374436524,-0.49920798145013,0.018453508240535203,1.2100751774429435,0.793,0.6938952056891128
privacy-anti-gb-v1-adult-s1,adult,1,kmeans_tuned,278,0.9,matched_full,0.967,0.9655452991452991,0.962599917719819,-0.5192400539662181,0.278,0.022867975549431138,0.538,0.7889519602395206,0.8052645,0.250484388647674,-0.5229989693897455,0.018399616816954383,1.2028972141871288,0.795,0.6905375438342247
privacy-anti-gb-v1-adult-s1,adult,1,knn_local_prototypes,278,0.9,matched_full,0.926,0.9287840455840457,0.9159362205833572,-0.5065005599587512,0.278,0.02581359982307548,0.5475,0.7201880730659533,0.6934205,0.28669290451653057,-0.5030302764754324,0.020479588250111033,1.2809383681510333,0.801,0.6985355493242803
privacy-anti-gb-v1-adult-s1,adult,1,oracle_supervised,278,0.9,matched_full,0.954,0.9511863247863248,0.9476616118403087,-0.3618334877597396,0.278,0.025160348088724034,0.5355,0.730251042977487,0.7094514999999999,,-0.3627941510524717,0.01959025324361608,1.2497878187562883,0.757,0.6585308959278053
privacy-anti-gb-v1-adult-s1,adult,1,random,278,0.9,matched_full,0.646,0.7143384615384615,0.63125,-0.2040110631076055,0.278,0.14034040813436935,0.514,0.5266126087406005,0.532898,0.44272779949236074,0.340498833190719,0.30089643988956605,5.274364640658396,0.778,0.6120807151693914
privacy-anti-gb-v1-adult-s1,adult,1,tree,130,0.9,matched_full,0.71,0.8116991452991453,0.7050147492625369,-0.27160772863547794,0.13,0.06907440547336276,0.5795,0.6277932379473239,0.598101,-0.25590244311335436,0.0480601947315954,0.07583626849603861,2.46208652283851,0.765,0.7022749990814867
privacy-anti-gb-v1-adult-s1,adult,1,granular_ball,338,0.95,R8_center_radius_count_purity,0.845,0.8423794871794872,0.8166875800513511,-0.286638993381264,0.338,0.03986591838474619,0.568,0.7562469796632735,0.764272,0.16785516671036968,-0.2846506730147197,0.031980123458743785,1.4470764043576032,0.799,0.6602887714453276
privacy-anti-gb-v1-adult-s1,adult,1,hierarchical,338,0.95,matched_full,0.976,0.9746279202279202,0.9727360715405482,-0.39196218912513325,0.338,0.018073992311729268,0.537,0.7542525737282708,0.7471405,0.24847798589877865,-0.37588636551468063,0.013780048737336936,1.0550175457636244,0.79,0.6889349725966524
privacy-anti-gb-v1-adult-s1,adult,1,hierarchical_average,338,0.95,matched_full,0.953,0.9505390313390312,0.9463959242654245,-0.5476109171128846,0.338,0.020955583309831206,0.58,0.75373692613597,0.7603285,0.26628824759975744,-0.5452252057470595,0.015871571674896827,1.0759020640902532,0.813,0.7196700201327895
privacy-anti-gb-v1-adult-s1,adult,1,hierarchical_complete,338,0.95,matched_full,0.972,0.972068376068376,0.9682912134952595,-0.5091230002386444,0.338,0.019302918697237027,0.551,0.8077814723981434,0.7848115,0.3018718101556287,-0.49108484983593165,0.014415173329606693,1.0717052511574294,0.792,0.6832185000395976
