experiment_id,dataset,seed,method,variant,n_groups,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-leakage-v1-adult-s1,adult,1,granular_ball,R5_center,278,0.677,0.5845584045584047,0.5849177353214446,-0.5831020644925503,0.278,0.04417750322229565,0.655,0.7152238806955891,0.667402,0.2248571134185353,-0.5497482406527838,0.043804950449609935,1.7111374770689245,0.759,0.6528332980404529
privacy-leakage-v1-adult-s1,adult,1,granular_ball,R6_center_radius,278,0.677,0.5845584045584047,0.5849177353214446,-0.15799563795421506,0.278,0.0713816401441692,0.5595,0.7012163019260194,0.697802,0.032195504349533666,-0.13822763824834622,0.05637117890716842,2.0274277489511894,0.788,0.6056547619047619
privacy-leakage-v1-adult-s1,adult,1,granular_ball,R7_center_radius_count,278,0.677,0.5845584045584047,0.5849177353214446,-0.15799563795421506,0.278,0.0713816401441692,0.5595,0.7012163019260194,0.697802,0.032195504349533666,-0.13822763824834622,0.05637117890716842,2.0274277489511894,0.788,0.6056547619047619
privacy-leakage-v1-adult-s1,adult,1,granular_ball,R8_center_radius_count_purity,278,0.677,0.5845584045584047,0.5849177353214446,-0.15799563795421506,0.278,0.0713816401441692,0.5595,0.7012163019260194,0.697802,0.032195504349533666,-0.13822763824834622,0.05637117890716842,2.0274277489511894,0.788,0.6056547619047619
privacy-leakage-v1-adult-s1,adult,1,hierarchical,matched_full,278,0.974,0.9725811965811967,0.9705103077816493,-0.35859460306766755,0.278,0.021889952628159765,0.521,0.7710906019896673,0.756257,0.24108757009339168,-0.31531965230661985,0.01683669062117797,1.1917985134869802,0.802,0.7161290322580646
privacy-leakage-v1-adult-s1,adult,1,kmeans,R1_center,278,0.963,0.9566883190883191,0.9579349947873501,-0.9153386851046416,0.278,0.023167996818746657,0.784,0.8743395006199043,0.8751789999999999,0.46934188256431114,-0.8661543203420602,0.01824685337545737,1.2033987668131627,0.791,0.7063084660449025
privacy-leakage-v1-adult-s1,adult,1,kmeans,R2_center_count,278,0.963,0.9566883190883191,0.9579349947873501,-0.8861006999467398,0.278,0.023167996818746657,0.794,0.8734533750385681,0.87809,0.4523898323230895,-0.8628756496354455,0.01824685337545737,1.2033987668131627,0.791,0.7063084660449025
privacy-leakage-v1-adult-s1,adult,1,kmeans,R3_center_radius,278,0.963,0.9566883190883191,0.9579349947873501,-0.5041639234858175,0.278,0.023469144641770075,0.536,0.7535681195958639,0.740131,0.2558663132296372,-0.4540114612038707,0.018453508240535203,1.2100751774429435,0.793,0.6938952056891128
privacy-leakage-v1-adult-s1,adult,1,kmeans,R4_center_radius_count,278,0.963,0.9566883190883191,0.9579349947873501,-0.5196745890215589,0.278,0.023469144641770075,0.536,0.7924450389205462,0.810844,0.23065900374436524,-0.49920798145013,0.018453508240535203,1.2100751774429435,0.793,0.6938952056891128
privacy-leakage-v1-adult-s1,adult,1,random,matched_full,278,0.646,0.7143384615384615,0.63125,-0.2040110631076055,0.278,0.14034040813436935,0.514,0.5266126087406005,0.532898,0.44272779949236074,0.340498833190719,0.30089643988956605,5.274364640658396,0.778,0.6120807151693914
privacy-leakage-v1-adult-s1,adult,1,raw,R0_raw_samples,1000,1.0,1.0,1.0,,1.0,0.0,0.9875,0.9987222707449461,0.999019,,,0.0,0.0,0.773,0.7031806740544605
privacy-leakage-v1-adult-s1,adult,1,tree,matched_full,130,0.71,0.8116991452991453,0.7050147492625369,-0.27160772863547794,0.13,0.06907440547336276,0.5795,0.6277932379473239,0.598101,-0.25590244311335436,0.0480601947315954,0.07583626849603861,2.46208652283851,0.765,0.7022749990814867
