experiment_id,dataset,seed,n_clients,method,accuracy,accuracy_drop_vs_raw,ciphertext_count_estimate,communication_bytes,m_over_n,n_prototypes,secure_additions_estimate,secure_multiplications_estimate
secure-aggregation-v1-adult-s1,adult,1,5,granular_ball,0.7733333333333333,-0.018333333333333313,4.0,123088.0,0.11214285714285714,157.0,14915.0,14915.0
secure-aggregation-v1-adult-s1,adult,1,5,kmeans,0.7,0.05500000000000005,4.0,123088.0,0.11214285714285714,157.0,14915.0,14915.0
secure-aggregation-v1-adult-s1,adult,1,5,microcluster,0.6833333333333333,0.07166666666666666,4.0,122304.0,0.11142857142857143,156.0,14820.0,14820.0
secure-aggregation-v1-adult-s1,adult,1,5,raw,0.755,0.0,33.0,1075200.0,1.0,1400.0,133000.0,133000.0
secure-aggregation-v1-adult-s1,adult,1,10,granular_ball,0.73,0.025000000000000022,3.0,68992.0,0.06285714285714286,88.0,8360.0,8360.0
secure-aggregation-v1-adult-s1,adult,1,10,kmeans,0.7166666666666667,0.03833333333333333,3.0,68992.0,0.06285714285714286,88.0,8360.0,8360.0
secure-aggregation-v1-adult-s1,adult,1,10,microcluster,0.6816666666666666,0.07333333333333336,3.0,68992.0,0.06285714285714286,88.0,8360.0,8360.0
secure-aggregation-v1-adult-s1,adult,1,10,raw,0.755,0.0,33.0,1075200.0,1.0,1400.0,133000.0,133000.0
secure-aggregation-v1-adult-s1,adult,1,20,granular_ball,0.7966666666666666,-0.04166666666666663,5.0,148176.0,0.135,189.0,17955.0,17955.0
secure-aggregation-v1-adult-s1,adult,1,20,kmeans,0.7983333333333333,-0.043333333333333335,5.0,148176.0,0.135,189.0,17955.0,17955.0
secure-aggregation-v1-adult-s1,adult,1,20,microcluster,0.79,-0.03500000000000003,5.0,143472.0,0.13071428571428573,183.0,17385.0,17385.0
secure-aggregation-v1-adult-s1,adult,1,20,raw,0.755,0.0,33.0,1075200.0,1.0,1400.0,133000.0,133000.0
secure-aggregation-v1-adult-s7,adult,7,5,granular_ball,0.79,-0.025000000000000022,7.0,206192.0,0.18785714285714286,263.0,24985.0,24985.0
secure-aggregation-v1-adult-s7,adult,7,5,kmeans,0.745,0.020000000000000018,7.0,206192.0,0.18785714285714286,263.0,24985.0,24985.0
secure-aggregation-v1-adult-s7,adult,7,5,microcluster,0.7316666666666667,0.033333333333333326,6.0,201488.0,0.18357142857142858,257.0,24415.0,24415.0
secure-aggregation-v1-adult-s7,adult,7,5,raw,0.765,0.0,33.0,1075200.0,1.0,1400.0,133000.0,133000.0
secure-aggregation-v1-adult-s7,adult,7,10,granular_ball,0.8016666666666666,-0.036666666666666625,7.0,219520.0,0.2,280.0,26600.0,26600.0
secure-aggregation-v1-adult-s7,adult,7,10,kmeans,0.7816666666666666,-0.016666666666666607,7.0,219520.0,0.2,280.0,26600.0,26600.0
secure-aggregation-v1-adult-s7,adult,7,10,microcluster,0.7816666666666666,-0.016666666666666607,7.0,214032.0,0.195,273.0,25935.0,25935.0
secure-aggregation-v1-adult-s7,adult,7,10,raw,0.765,0.0,33.0,1075200.0,1.0,1400.0,133000.0,133000.0
secure-aggregation-v1-adult-s7,adult,7,20,granular_ball,0.7833333333333333,-0.018333333333333313,5.0,162288.0,0.14785714285714285,207.0,19665.0,19665.0
secure-aggregation-v1-adult-s7,adult,7,20,kmeans,0.765,0.0,5.0,162288.0,0.14785714285714285,207.0,19665.0,19665.0
secure-aggregation-v1-adult-s7,adult,7,20,microcluster,0.725,0.040000000000000036,5.0,160720.0,0.14642857142857144,205.0,19475.0,19475.0
secure-aggregation-v1-adult-s7,adult,7,20,raw,0.765,0.0,33.0,1075200.0,1.0,1400.0,133000.0,133000.0
secure-aggregation-v1-adult-s21,adult,21,5,granular_ball,0.7783333333333333,0.04166666666666663,5.0,145112.0,0.13357142857142856,187.0,17578.0,17578.0
secure-aggregation-v1-adult-s21,adult,21,5,kmeans,0.81,0.009999999999999898,5.0,145112.0,0.13357142857142856,187.0,17578.0,17578.0
secure-aggregation-v1-adult-s21,adult,21,5,microcluster,0.8016666666666666,0.018333333333333313,5.0,140456.0,0.12928571428571428,181.0,17014.0,17014.0
secure-aggregation-v1-adult-s21,adult,21,5,raw,0.82,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-adult-s21,adult,21,10,granular_ball,0.7766666666666666,0.043333333333333335,6.0,187792.0,0.17285714285714285,242.0,22748.0,22748.0
secure-aggregation-v1-adult-s21,adult,21,10,kmeans,0.7916666666666666,0.02833333333333332,6.0,187792.0,0.17285714285714285,242.0,22748.0,22748.0
secure-aggregation-v1-adult-s21,adult,21,10,microcluster,0.8133333333333334,0.006666666666666599,6.0,186240.0,0.17142857142857143,240.0,22560.0,22560.0
secure-aggregation-v1-adult-s21,adult,21,10,raw,0.82,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-adult-s21,adult,21,20,granular_ball,0.8116666666666666,0.008333333333333304,4.0,129592.0,0.11928571428571429,167.0,15698.0,15698.0
secure-aggregation-v1-adult-s21,adult,21,20,kmeans,0.8066666666666666,0.013333333333333308,4.0,129592.0,0.11928571428571429,167.0,15698.0,15698.0
secure-aggregation-v1-adult-s21,adult,21,20,microcluster,0.8133333333333334,0.006666666666666599,4.0,127264.0,0.11714285714285715,164.0,15416.0,15416.0
secure-aggregation-v1-adult-s21,adult,21,20,raw,0.82,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-adult-s42,adult,42,5,granular_ball,0.8066666666666666,-0.015000000000000013,8.0,263736.0,0.23785714285714285,333.0,31968.0,31968.0
secure-aggregation-v1-adult-s42,adult,42,5,kmeans,0.8,-0.008333333333333415,8.0,263736.0,0.23785714285714285,333.0,31968.0,31968.0
secure-aggregation-v1-adult-s42,adult,42,5,microcluster,0.795,-0.0033333333333334103,8.0,255816.0,0.2307142857142857,323.0,31008.0,31008.0
secure-aggregation-v1-adult-s42,adult,42,5,raw,0.7916666666666666,0.0,33.0,1086400.0,1.0,1400.0,134400.0,134400.0
secure-aggregation-v1-adult-s42,adult,42,10,granular_ball,0.77,0.021666666666666612,5.0,145728.0,0.13142857142857142,184.0,17664.0,17664.0
secure-aggregation-v1-adult-s42,adult,42,10,kmeans,0.7833333333333333,0.008333333333333304,5.0,145728.0,0.13142857142857142,184.0,17664.0,17664.0
secure-aggregation-v1-adult-s42,adult,42,10,microcluster,0.805,-0.01333333333333342,5.0,144144.0,0.13,182.0,17472.0,17472.0
secure-aggregation-v1-adult-s42,adult,42,10,raw,0.7916666666666666,0.0,33.0,1086400.0,1.0,1400.0,134400.0,134400.0
secure-aggregation-v1-adult-s42,adult,42,20,granular_ball,0.8066666666666666,-0.015000000000000013,6.0,191664.0,0.17285714285714285,242.0,23232.0,23232.0
secure-aggregation-v1-adult-s42,adult,42,20,kmeans,0.7833333333333333,0.008333333333333304,6.0,191664.0,0.17285714285714285,242.0,23232.0,23232.0
secure-aggregation-v1-adult-s42,adult,42,20,microcluster,0.7566666666666667,0.03499999999999992,6.0,189288.0,0.1707142857142857,239.0,22944.0,22944.0
secure-aggregation-v1-adult-s42,adult,42,20,raw,0.7916666666666666,0.0,33.0,1086400.0,1.0,1400.0,134400.0,134400.0
secure-aggregation-v1-adult-s2026,adult,2026,5,granular_ball,0.7533333333333333,0.01333333333333342,3.0,100880.0,0.09285714285714286,130.0,12220.0,12220.0
secure-aggregation-v1-adult-s2026,adult,2026,5,kmeans,0.7083333333333334,0.05833333333333335,3.0,100880.0,0.09285714285714286,130.0,12220.0,12220.0
secure-aggregation-v1-adult-s2026,adult,2026,5,microcluster,0.6966666666666667,0.07000000000000006,3.0,100880.0,0.09285714285714286,130.0,12220.0,12220.0
secure-aggregation-v1-adult-s2026,adult,2026,5,raw,0.7666666666666667,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-adult-s2026,adult,2026,10,granular_ball,0.7583333333333333,0.008333333333333415,6.0,179256.0,0.165,231.0,21714.0,21714.0
secure-aggregation-v1-adult-s2026,adult,2026,10,kmeans,0.7683333333333333,-0.0016666666666665941,6.0,179256.0,0.165,231.0,21714.0,21714.0
secure-aggregation-v1-adult-s2026,adult,2026,10,microcluster,0.7533333333333333,0.01333333333333342,6.0,176928.0,0.16285714285714287,228.0,21432.0,21432.0
secure-aggregation-v1-adult-s2026,adult,2026,10,raw,0.7666666666666667,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-adult-s2026,adult,2026,20,granular_ball,0.785,-0.018333333333333313,5.0,162960.0,0.15,210.0,19740.0,19740.0
secure-aggregation-v1-adult-s2026,adult,2026,20,kmeans,0.7883333333333333,-0.021666666666666612,5.0,162960.0,0.15,210.0,19740.0,19740.0
secure-aggregation-v1-adult-s2026,adult,2026,20,microcluster,0.7866666666666666,-0.019999999999999907,5.0,156752.0,0.1442857142857143,202.0,18988.0,18988.0
secure-aggregation-v1-adult-s2026,adult,2026,20,raw,0.7666666666666667,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,5,granular_ball,0.935672514619883,0.0292397660818714,1.0,2904.0,0.02763819095477387,11.0,330.0,330.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,5,kmeans,0.9181286549707602,0.04678362573099415,1.0,2904.0,0.02763819095477387,11.0,330.0,330.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,5,microcluster,0.9005847953216374,0.06432748538011701,1.0,2904.0,0.02763819095477387,11.0,330.0,330.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,5,raw,0.9649122807017544,0.0,3.0,98704.0,1.0,398.0,11940.0,11940.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,10,granular_ball,0.9473684210526315,0.01754385964912286,1.0,17952.0,0.1708542713567839,68.0,2040.0,2040.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,10,kmeans,0.935672514619883,0.0292397660818714,1.0,17952.0,0.1708542713567839,68.0,2040.0,2040.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,10,microcluster,0.935672514619883,0.0292397660818714,1.0,17952.0,0.1708542713567839,68.0,2040.0,2040.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,10,raw,0.9649122807017544,0.0,3.0,98704.0,1.0,398.0,11940.0,11940.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,20,granular_ball,0.9181286549707602,0.04678362573099415,1.0,12936.0,0.12311557788944724,49.0,1470.0,1470.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,20,kmeans,0.8713450292397661,0.0935672514619883,1.0,12936.0,0.12311557788944724,49.0,1470.0,1470.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,20,microcluster,0.9649122807017544,0.0,1.0,12936.0,0.12311557788944724,49.0,1470.0,1470.0
secure-aggregation-v1-breast_cancer-s1,breast_cancer,1,20,raw,0.9649122807017544,0.0,3.0,98704.0,1.0,398.0,11940.0,11940.0
secure-aggregation-v1-breast_cancer-s7,breast_cancer,7,5,granular_ball,0.9298245614035088,0.040935672514619825,1.0,7128.0,0.0678391959798995,27.0,810.0,810.0
secure-aggregation-v1-breast_cancer-s7,breast_cancer,7,5,kmeans,0.9298245614035088,0.040935672514619825,1.0,7128.0,0.0678391959798995,27.0,810.0,810.0
secure-aggregation-v1-breast_cancer-s7,breast_cancer,7,5,microcluster,0.9590643274853801,0.011695906432748537,1.0,6864.0,0.06532663316582915,26.0,780.0,780.0
secure-aggregation-v1-breast_cancer-s7,breast_cancer,7,5,raw,0.9707602339181286,0.0,3.0,98704.0,1.0,398.0,11940.0,11940.0
secure-aggregation-v1-breast_cancer-s7,breast_cancer,7,10,granular_ball,0.9415204678362573,0.029239766081871288,1.0,12672.0,0.12060301507537688,48.0,1440.0,1440.0
secure-aggregation-v1-breast_cancer-s7,breast_cancer,7,10,kmeans,0.9415204678362573,0.029239766081871288,1.0,12672.0,0.12060301507537688,48.0,1440.0,1440.0
secure-aggregation-v1-breast_cancer-s7,breast_cancer,7,10,microcluster,0.9239766081871345,0.04678362573099415,1.0,12672.0,0.12060301507537688,48.0,1440.0,1440.0
secure-aggregation-v1-breast_cancer-s7,breast_cancer,7,10,raw,0.9707602339181286,0.0,3.0,98704.0,1.0,398.0,11940.0,11940.0
secure-aggregation-v1-breast_cancer-s7,breast_cancer,7,20,granular_ball,0.9122807017543859,0.05847953216374269,1.0,11880.0,0.11306532663316583,45.0,1350.0,1350.0
secure-aggregation-v1-breast_cancer-s7,breast_cancer,7,20,kmeans,0.9122807017543859,0.05847953216374269,1.0,11880.0,0.11306532663316583,45.0,1350.0,1350.0
