experiment_id,clients,alpha,seed,uniform_to_oracle_regret,estimated_to_oracle_nearest_regret,marginal_value_variance
v2fed-digits-c10-a005-s1,10,0.05,1,0.012037037037037039,0.006666666666666643,1.1593845235421327e-07
v2fed-digits-c10-a005-s2026,10,0.05,2026,0.004537037037037032,0.0016666666666666607,1.832001585789015e-07
v2fed-digits-c10-a005-s21,10,0.05,21,0.010185185185185183,0.008333333333333349,9.181055574481239e-08
v2fed-digits-c10-a005-s42,10,0.05,42,0.016203703703703713,0.011111111111111117,8.078380764006352e-08
v2fed-digits-c10-a005-s7,10,0.05,7,0.007499999999999995,0.0050000000000000044,4.300396993648196e-08
v2fed-digits-c10-a010-s1,10,0.1,1,0.014074074074074091,0.022777777777777806,5.884915382346059e-08
v2fed-digits-c10-a010-s2026,10,0.1,2026,0.009814814814814828,0.010555555555555585,1.6394767561651186e-07
v2fed-digits-c10-a010-s21,10,0.1,21,0.007685185185185195,0.015555555555555567,6.2323115308021e-08
v2fed-digits-c10-a010-s42,10,0.1,42,0.020092592592592606,0.015000000000000013,6.505211150143385e-08
v2fed-digits-c10-a010-s7,10,0.1,7,0.016203703703703706,0.024444444444444425,1.791009692607798e-07
v2fed-digits-c10-a030-s1,10,0.3,1,0.010462962962962948,0.017222222222222184,1.1003595530095172e-08
v2fed-digits-c10-a030-s2026,10,0.3,2026,0.009814814814814802,0.02388888888888887,9.523236331727634e-09
v2fed-digits-c10-a030-s21,10,0.3,21,0.012407407407407423,0.01666666666666672,1.67769703358154e-08
v2fed-digits-c10-a030-s42,10,0.3,42,0.008055555555555548,0.02055555555555555,9.00869785357285e-09
v2fed-digits-c10-a030-s7,10,0.3,7,0.008888888888888894,0.01499999999999999,2.995473626907265e-08
v2fed-digits-c10-a100-s1,10,1.0,1,0.010833333333333325,0.028888888888888853,1.3534016134174026e-08
v2fed-digits-c10-a100-s2026,10,1.0,2026,0.012407407407407403,0.018333333333333358,9.11733225975529e-09
v2fed-digits-c10-a100-s21,10,1.0,21,0.0075925925925926065,0.01722222222222223,2.1190379401217224e-08
v2fed-digits-c10-a100-s42,10,1.0,42,0.006388888888888888,0.01722222222222223,9.376317411269113e-09
v2fed-digits-c10-a100-s7,10,1.0,7,0.011111111111111108,0.011666666666666626,1.4170163799392707e-08
v2fed-digits-c20-a005-s1,20,0.05,1,0.013611111111111126,0.014444444444444482,4.5249984694547376e-08
v2fed-digits-c20-a005-s2026,20,0.05,2026,0.0163888888888889,0.02000000000000004,1.701020588166886e-07
v2fed-digits-c20-a005-s21,20,0.05,21,0.011944444444444443,0.01722222222222223,1.4146831888244363e-07
v2fed-digits-c20-a005-s42,20,0.05,42,0.029722222222222223,0.02777777777777779,2.329765893808965e-07
v2fed-digits-c20-a005-s7,20,0.05,7,0.005092592592592604,0.01333333333333333,2.1176862028218812e-07
v2fed-digits-c20-a010-s1,20,0.1,1,0.006018518518518512,0.011111111111111094,2.2583801586605044e-07
v2fed-digits-c20-a010-s2026,20,0.1,2026,0.005925925925925931,0.025555555555555554,2.8433136253866385e-07
v2fed-digits-c20-a010-s21,20,0.1,21,0.015555555555555552,0.01333333333333333,9.789907451116096e-08
v2fed-digits-c20-a010-s42,20,0.1,42,0.010462962962962967,0.022222222222222254,1.803539077103337e-07
v2fed-digits-c20-a010-s7,20,0.1,7,0.020833333333333322,0.024999999999999956,1.7976740565387882e-07
