dataset,method,ratio,runs,mean_accuracy,mean_macro_f1,mean_retained_node_ratio,mean_retained_nodes,mean_retained_edges,mean_preprocessing_seconds,mean_training_seconds,mean_tensor_memory_bytes
planetoid-citeseer,full,1.0,3,0.6566666666666666,0.617444848476444,1.0,3327,4552,2.6526686269789934e-06,0.2662712083304844,49528144
planetoid-citeseer,gbgc_adaptive,,3,0.6803333333333333,0.6530431017479077,0.4220018034265104,1404,1470,0.2741219583331258,0.15140370866720332,20882928
planetoid-citeseer,gbgc_fixed,0.25,3,0.49366666666666664,0.45898762706194884,0.3128944995491434,1041,769,0.11040813933504978,0.08176643033220898,15470872
planetoid-citeseer,gbgc_fixed,0.5,3,0.6040000000000001,0.5885400307078288,0.5001502855425308,1664,1966,0.3349367779980336,0.13644201366696507,24759088
planetoid-citeseer,gbgc_fixed,0.75,3,0.6876666666666666,0.6595462136131566,0.7499248572287346,2495,3437,0.4263027223350946,0.2582693336662487,37143320
planetoid-citeseer,heavy_edge,0.25,3,0.5226666666666666,0.4952429007496038,0.5105700831580002,1698.6666666666667,2802.3333333333335,0.005652249664611493,0.13922662533150287,25306717.333333332
planetoid-citeseer,heavy_edge,0.5,3,0.5456666666666666,0.5239545584580285,0.5209898807734696,1733.3333333333333,2806,0.005447749999196579,0.14199677766737295,25821040
planetoid-citeseer,heavy_edge,0.75,3,0.6873333333333334,0.6610724369383835,0.7568379921851518,2518,3427.6666666666665,0.0033862500034350282,0.24720176433280963,37484082.666666664
planetoid-citeseer,random,0.25,3,0.12333333333333334,0.05204208834359314,0.2500751427712654,832,4505.333333333333,9.229200077243149e-05,0.028100055664253887,12520437.333333334
planetoid-citeseer,random,0.5,3,0.251,0.18931501287797822,0.5001502855425308,1664,4542,9.930533512185018e-05,0.10967331933352398,24862128
planetoid-citeseer,random,0.75,3,0.508,0.4825154642692788,0.7499248572287346,2495,4547,9.195833748284106e-05,0.27129855566454353,37187720
planetoid-cora,full,1.0,3,0.7976666666666667,0.7914150022067881,1.0,2708,5278,3.166664100717753e-06,0.1472265553335698,15787536
planetoid-cora,gbgc_adaptive,,3,0.63,0.5574312871134378,0.32680945347119644,885,1787,0.2235871109975657,0.031107568996958435,5162000
planetoid-cora,gbgc_fixed,0.25,3,0.601,0.5403219870335874,0.25,677,1363,0.14155401433284473,0.02649877733347239,3948624
planetoid-cora,gbgc_fixed,0.5,3,0.5800000000000001,0.5438846383600279,0.5,1354,2849,0.3336703056653884,0.02571090266428655,7902168
planetoid-cora,gbgc_fixed,0.75,3,0.6426666666666667,0.6382488027067411,0.75,2031,4184,0.4304643890015238,0.05895931933385631,11849672
planetoid-cora,heavy_edge,0.25,3,0.6493333333333333,0.6567659794393874,0.5,1354,3512.6666666666665,0.004566583668444461,0.06026538866717601,7928714.666666667
planetoid-cora,heavy_edge,0.5,3,0.6493333333333333,0.6567659794393874,0.5,1354,3512.6666666666665,0.004517625338242699,0.0563264306668619,7928714.666666667
planetoid-cora,heavy_edge,0.75,3,0.7066666666666667,0.6949350104133653,0.75,2031,4157.333333333333,0.002796083334639358,0.06824473600136116,11848605.333333334
planetoid-cora,random,0.25,3,0.13633333333333333,0.03426347394553684,0.25,677,5190.666666666667,7.652733377957095e-05,0.019097069668835804,4101730.6666666665
planetoid-cora,random,0.5,3,0.30233333333333334,0.2353196628733506,0.5,1354,5255.666666666667,7.681966720459361e-05,0.060016069667957105,7998434.666666667
planetoid-cora,random,0.75,3,0.5720000000000001,0.568542810575519,0.75,2031,5264.666666666667,8.220866584451869e-05,0.09920645833093052,11892898.666666666
planetoid-pubmed,full,1.0,3,0.7796666666666667,0.7765951917490347,1.0,19717,44324,4.305664333514869e-06,0.5120328473324965,41601300
planetoid-pubmed,gbgc_adaptive,,3,0.7683333333333333,0.7606434936317292,0.43181011310037026,8514,19676,2.985901319332091,0.26526283366789966,17985320
planetoid-pubmed,gbgc_fixed,0.25,3,0.692,0.677575604832545,0.3565958310087742,7031,11277,2.165991249998721,0.1462781806694693,14653700
planetoid-pubmed,gbgc_fixed,0.5,3,0.7553333333333333,0.7481719423256856,0.49997464117259216,9858,22322,3.34161702766869,0.30625033300263266,20806040
planetoid-pubmed,gbgc_fixed,0.75,3,0.7716666666666667,0.7667910344928747,0.7500126794137039,14788,32183,4.50431851400208,0.3954533193318639,31159080
planetoid-pubmed,heavy_edge,0.25,3,0.5583333333333333,0.5248080157947019,0.5000253588274078,9859,39282.666666666664,0.026192971999989823,0.25709990266720223,21486486.666666668
planetoid-pubmed,heavy_edge,0.5,3,0.5583333333333333,0.5248080157947019,0.5000253588274078,9859,39282.666666666664,0.025608375001562916,0.2731983886672727,21486486.666666668
planetoid-pubmed,heavy_edge,0.75,3,0.702,0.7009970664167474,0.7500295852986424,14788.333333333334,39318.333333333336,0.02429088899953058,0.455412278335037,31445166.666666668
planetoid-pubmed,random,0.25,3,0.3353333333333333,0.16380315685796273,0.24998732058629608,4929,44154.666666666664,0.00021700000070268288,0.07145609700091882,11722766.666666666
planetoid-pubmed,random,0.5,3,0.538,0.5228117487384313,0.49997464117259216,9858,44273.333333333336,0.0002102223297697492,0.29823423633206403,21684093.333333332
planetoid-pubmed,random,0.75,3,0.6443333333333333,0.6404296078224115,0.7500126794137039,14788,44305.333333333336,0.00021377733355620876,0.4055230003335358,31643973.333333332
