experiment_id,base_config,family,method,condition_a_oracle,condition_b_oracle,positive_global_regret,positive_global_point_fraction,mean_global_regret,max_global_regret,estimated_eps01_oracle_regret,estimated_eps01_condition_a_vs_global,estimated_eps01_cost,estimated_eps01_risk,marginal_value_mean,marginal_value_variance,region_value_variance,region_scores_json
v2thy-A00-s1,A00,A,kmeans,True,True,True,0.4,0.006440000000000004,0.021800000000000014,0,False,334,0.1422,0.00017409638554216874,0,0.0,"[0.00017409638554216874, 0.00017409638554216874]"
v2thy-A00-s2026,A00,A,kmeans,True,True,True,0.5,0.0059000000000000025,0.0204,0,False,326,0.146,0.00016666666666666674,0,0.0,"[0.00016666666666666674, 0.00016666666666666674]"
v2thy-A00-s21,A00,A,kmeans,True,True,True,0.5,0.007739999999999997,0.02679999999999999,0,False,348,0.1452,0.00015838150289017346,0,0.0,"[0.00015838150289017346, 0.00015838150289017346]"
v2thy-A00-s42,A00,A,kmeans,True,True,True,0.5,0.007160000000000002,0.027600000000000013,0,False,311,0.144,0.00018122977346278325,0,0.0,"[0.00018122977346278325, 0.00018122977346278325]"
v2thy-A00-s7,A00,A,kmeans,True,True,True,0.5,0.0071,0.02840000000000001,0,True,338,0.1464,0.00015952380952380954,0,0.0,"[0.00015952380952380954, 0.00015952380952380954]"
v2thy-A01-s1,A01,A,kmeans,True,True,True,0.5,0.0071000000000000065,0.02200000000000002,0,True,3,0.24,0.030012096774193548,0.0008992743398803329,0.0,"[0.030012096774193548, 0.030012096774193548]"
v2thy-A01-s2026,A01,A,kmeans,False,True,True,0.6,0.01070000000000001,0.028000000000000025,0,False,3,0.24,0.06,0,0.0,"[0.06, 0.06]"
v2thy-A01-s21,A01,A,kmeans,True,True,True,0.5,0.009800000000000008,0.027000000000000024,0,True,3,0.24,0.03000609756097561,0.0008996341835217132,0.0,"[0.03000609756097561, 0.03000609756097561]"
v2thy-A01-s42,A01,A,kmeans,True,True,True,0.6,0.005700000000000005,0.013000000000000012,0,True,3,0.24,0.06,0,0.0,"[0.06, 0.06]"
v2thy-A01-s7,A01,A,kmeans,True,True,True,0.6,0.024700000000000007,0.064,0,False,3,0.24,0.06,0,0.0,"[0.06, 0.06]"
