paper_id,title,year,venue,doi,openalex_id,url,primary_source_url,authors,citations_count,concepts,abstract_status,code_url,search_query,retrieved_at,verification_status,notes
P0001,Constructing Three-Way Decision With Fuzzy Granular-Ball Rough Sets Based on Uncertainty Invariance,2025,IEEE Transactions on Fuzzy Systems,10.1109/tfuzz.2025.3536564,,https://www.semanticscholar.org/paper/af5cdfe4186a9d06fb2eb8637c7ef16673f852f9,https://doi.org/10.1109/tfuzz.2025.3536564,Jie Yang; Zhuangzhuang Liu; Guoyin Wang; Qinghua Zhang; Shuyin Xia; Di Wu; Yanmin Liu,69,,available-and-coded-not-redistributed,,granular ball three-way decision; granular ball uncertainty,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0002,3WC-GBNRS++: A Novel Three-Way Classifier With Granular-Ball Neighborhood Rough Sets Based on Uncertainty,2024,IEEE Transactions on Fuzzy Systems,10.1109/tfuzz.2024.3397697,,https://www.semanticscholar.org/paper/f1fe62d07294b02f80299f2c3a46d343e659d2ef,https://doi.org/10.1109/tfuzz.2024.3397697,Jie Yang; Zhuangzhuang Liu; Shuyin Xia; Guoyin Wang; Qinghua Zhang; Shuai Li; Taihua Xu,80,,available-and-coded-not-redistributed,,granular ball classifier; granular ball neighborhood rough set; granular ball three-way decision; granular ball uncertainty,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0003,GBRS: A Unified Granular-Ball Learning Model of Pawlak Rough Set and Neighborhood Rough Set,2025,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2023.3325199,,https://www.semanticscholar.org/paper/6a2df96983716bc523f7ebb4e6e346b643968495,https://doi.org/10.1109/tnnls.2023.3325199,Shuyin Xia; Cheng Wang; Guoyin Wang; Xinbo Gao; Weiping Ding; Jianhang Yu; Yujia Zhai; Zizhong Chen,79,,available-and-coded-not-redistributed,,granular ball rough set; granular ball neighborhood rough set; granular ball open set; neighborhood rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0004,"Granular ball computing classifiers for efficient, scalable and robust learning",2019,Information Sciences,10.1016/j.ins.2019.01.010,,https://www.semanticscholar.org/paper/b028dace1686514a7fb097cdfbf846d9339aa508,https://doi.org/10.1016/j.ins.2019.01.010,Shuyin Xia; Yunsheng Liu; Xin Ding; Guoyin Wang; Hong Yu; Yuoguo Luo,301,,available-and-coded-not-redistributed,,granular-ball computing; granular ball graph learning; granular ball deep learning; granular ball federated learning,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0005,An Efficient and Adaptive Granular-Ball Generation Method in Classification Problem,2024,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2022.3203381,,https://www.semanticscholar.org/paper/75e8f358cdbfb8c2d51e1459fb2fc8c5d4bcdcb6,https://doi.org/10.1109/tnnls.2022.3203381,Shuyin Xia; Xiaochuan Dai; Guoyin Wang; Xinbo Gao; Elisabeth Giem,109,,available-and-coded-not-redistributed,,granular ball generation,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0006,GBG++: A Fast and Stable Granular Ball Generation Method for Classification,2024,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/tetci.2024.3359091,,https://www.semanticscholar.org/paper/8ae66d2d1d666598d8013eba246c4514382793fa,https://doi.org/10.1109/tetci.2024.3359091,Qin Xie; Qinghua Zhang; Shuyin Xia; Fan Zhao; Chengying Wu; Guoyin Wang; Weiping Ding,65,,available-and-coded-not-redistributed,,granular ball generation,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0007,A granular-ball generation method based on local density for classification,2025,Information Sciences,10.1016/j.ins.2025.122295,,https://www.semanticscholar.org/paper/bf43efe7f9d631496f13b6f2de89b8e8baccb5a8,https://doi.org/10.1016/j.ins.2025.122295,Fan Liu; Qinghua Zhang; Shuyin Xia; Qin Xie; Wei Liao; Siyang Zhang,8,,not-available-from-enrichment,,granular ball generation,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0008,Granular-Ball Three-Way Decision,2023,Lecture Notes in Computer Science,10.1007/978-3-031-50959-9_20,,https://www.semanticscholar.org/paper/95b68ec50c5830091f7449c84fb85f1004214b28,https://doi.org/10.1007/978-3-031-50959-9_20,Xin Yang; Yanhua Li; Shuyin Xia; Xiaoyu Lian; Guoyin Wang; Tianrui Li,0,,not-available-from-enrichment,,granular ball classifier; granular ball generation; granular ball three-way decision; granular ball anomaly detection; granular ball graph learning; granular ball deep learning; granular ball federated learning; granular ball open set; granular ball uncertainty; granular ball calibration; granular ball conformal prediction; three-way decision; three-way decision agent,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0009,Three-Way Decision of Granular-Ball Rough Sets Based on Fuzziness,2024,Lecture Notes in Computer Science,10.1007/978-3-031-65668-2_3,,https://www.semanticscholar.org/paper/0ba6dc7f52de3be4efb481b93eb96050204839f1,https://doi.org/10.1007/978-3-031-65668-2_3,Zhuangzhuang Liu; Taihua Xu; Jie Yang; Shuyin Xia,0,,not-available-from-enrichment,,granular ball rough set; granular ball three-way decision,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0010,Granular ball-based fuzzy multineighborhood rough set for feature selection via label enhancement,2025,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2025.110191,,https://www.semanticscholar.org/paper/491667497ccdd043a8455d0bfe030372ba417366,https://doi.org/10.1016/j.engappai.2025.110191,Lin Sun; Wenjuan Du; Weiping Ding; Qian Long; Jiucheng Xu,15,,not-available-from-enrichment,,granular ball rough set; granular ball neighborhood rough set; granular ball feature selection; granular ball open set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
