generator_regime,shadow_seed,target_seed,attack_protocol,method,release,attack,threshold,number_of_balls,small_ball_ratio,candidate_count,negative_count,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,dimension,redundant_fraction,label_noise
d60_redundancy0.0_noise0.05,independent_suite,22001,independent_pool_cross_release,granular_ball,release_1,logistic,0.9,35,0.7142857142857143,600,300,0.7295555555555556,0.7540091829271458,0.19333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22001,same_release_cv,granular_ball,release_1,logistic,0.9,35,0.7142857142857143,600,300,0.7241,0.747260908346074,0.17,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22001,independent_pool_cross_release,granular_ball,release_1,random_forest,0.9,35,0.7142857142857143,600,300,0.6974111111111111,0.7340667918215119,0.21,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22001,same_release_cv,granular_ball,release_1,random_forest,0.9,35,0.7142857142857143,600,300,0.6965888888888889,0.7290753334930502,0.19,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22001,independent_pool_cross_release,matched_kmeans,release_1,logistic,0.9,35,0.8,600,300,0.7141777777777778,0.6910191593015049,0.11333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22001,same_release_cv,matched_kmeans,release_1,logistic,0.9,35,0.8,600,300,0.7301444444444445,0.7187467812241242,0.12,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22001,independent_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,35,0.8,600,300,0.7754888888888889,0.7795482499473503,0.18666666666666668,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22001,same_release_cv,matched_kmeans,release_1,random_forest,0.9,35,0.8,600,300,0.7422666666666667,0.7567153323060514,0.18,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22002,independent_pool_cross_release,granular_ball,release_1,logistic,0.9,67,0.835820895522388,600,300,0.7694111111111112,0.7928446577021944,0.2866666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22002,same_release_cv,granular_ball,release_1,logistic,0.9,67,0.835820895522388,600,300,0.7754888888888889,0.7896739457633369,0.28,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22002,independent_pool_cross_release,granular_ball,release_1,random_forest,0.9,67,0.835820895522388,600,300,0.7764222222222222,0.8122488419035706,0.35333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22002,same_release_cv,granular_ball,release_1,random_forest,0.9,67,0.835820895522388,600,300,0.7660111111111112,0.8091345262635127,0.2866666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22002,independent_pool_cross_release,matched_kmeans,release_1,logistic,0.9,67,0.9253731343283582,600,300,0.7593,0.7551373732267828,0.21666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22002,same_release_cv,matched_kmeans,release_1,logistic,0.9,67,0.9253731343283582,600,300,0.7670444444444444,0.7624131244005777,0.22333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22002,independent_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,67,0.9253731343283582,600,300,0.8083,0.8235672939985919,0.25,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22002,same_release_cv,matched_kmeans,release_1,random_forest,0.9,67,0.9253731343283582,600,300,0.8134666666666666,0.8297236547504736,0.28,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22003,independent_pool_cross_release,granular_ball,release_1,logistic,0.9,54,0.8333333333333334,600,300,0.7631666666666668,0.796031709685592,0.27,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22003,same_release_cv,granular_ball,release_1,logistic,0.9,54,0.8333333333333334,600,300,0.7538888888888888,0.7921003740371367,0.24666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22003,independent_pool_cross_release,granular_ball,release_1,random_forest,0.9,54,0.8333333333333334,600,300,0.7292000000000001,0.774240148463393,0.27666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22003,same_release_cv,granular_ball,release_1,random_forest,0.9,54,0.8333333333333334,600,300,0.7202555555555556,0.76345085172151,0.25,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22003,independent_pool_cross_release,matched_kmeans,release_1,logistic,0.9,54,0.8888888888888888,600,300,0.7458222222222222,0.7363841821407316,0.18666666666666668,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22003,same_release_cv,matched_kmeans,release_1,logistic,0.9,54,0.8888888888888888,600,300,0.7540666666666667,0.7535873886562026,0.17,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22003,independent_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,54,0.8888888888888888,600,300,0.7786166666666667,0.7877021946627977,0.19333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22003,same_release_cv,matched_kmeans,release_1,random_forest,0.9,54,0.8888888888888888,600,300,0.7857444444444445,0.7938024941384296,0.21333333333333335,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22004,independent_pool_cross_release,granular_ball,release_1,logistic,0.9,33,0.6363636363636364,600,300,0.7453000000000001,0.7837577913621113,0.22333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22004,same_release_cv,granular_ball,release_1,logistic,0.9,33,0.6363636363636364,600,300,0.740588888888889,0.7749341990909631,0.22333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22004,independent_pool_cross_release,granular_ball,release_1,random_forest,0.9,33,0.6363636363636364,600,300,0.7430111111111111,0.7740590364411946,0.23666666666666666,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22004,same_release_cv,granular_ball,release_1,random_forest,0.9,33,0.6363636363636364,600,300,0.6981666666666667,0.7183885473585758,0.15,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22004,independent_pool_cross_release,matched_kmeans,release_1,logistic,0.9,33,0.8787878787878788,600,300,0.6947777777777777,0.6850454706847251,0.13666666666666666,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22004,same_release_cv,matched_kmeans,release_1,logistic,0.9,33,0.8787878787878788,600,300,0.7286555555555556,0.7261574247790552,0.12,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22004,independent_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,33,0.8787878787878788,600,300,0.7395,0.74513824299845,0.15333333333333332,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22004,same_release_cv,matched_kmeans,release_1,random_forest,0.9,33,0.8787878787878788,600,300,0.7447499999999999,0.7541134883054821,0.15,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22005,independent_pool_cross_release,granular_ball,release_1,logistic,0.9,58,0.7586206896551724,600,300,0.7795222222222223,0.794518481027678,0.26,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22005,same_release_cv,granular_ball,release_1,logistic,0.9,58,0.7586206896551724,600,300,0.7707666666666667,0.7905725362483744,0.26,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22005,independent_pool_cross_release,granular_ball,release_1,random_forest,0.9,58,0.7586206896551724,600,300,0.7910444444444444,0.8215074130757429,0.34,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22005,same_release_cv,granular_ball,release_1,random_forest,0.9,58,0.7586206896551724,600,300,0.7908611111111111,0.8175124525989849,0.34,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22005,independent_pool_cross_release,matched_kmeans,release_1,logistic,0.9,58,0.8793103448275862,600,300,0.7452777777777777,0.7287905166831276,0.17666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22005,same_release_cv,matched_kmeans,release_1,logistic,0.9,58,0.8793103448275862,600,300,0.7552666666666666,0.7449654784795923,0.18666666666666668,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22005,independent_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,58,0.8793103448275862,600,300,0.8032777777777778,0.8165323931624369,0.26666666666666666,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22005,same_release_cv,matched_kmeans,release_1,random_forest,0.9,58,0.8793103448275862,600,300,0.7789499999999999,0.7876921699516619,0.19,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22006,independent_pool_cross_release,granular_ball,release_1,logistic,0.9,40,0.675,600,300,0.7615666666666667,0.7939630009878222,0.21,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22006,same_release_cv,granular_ball,release_1,logistic,0.9,40,0.675,600,300,0.775488888888889,0.7950369850871636,0.23333333333333334,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22006,independent_pool_cross_release,granular_ball,release_1,random_forest,0.9,40,0.675,600,300,0.7706111111111111,0.7921288250190235,0.24333333333333335,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22006,same_release_cv,granular_ball,release_1,random_forest,0.9,40,0.675,600,300,0.7433388888888888,0.7720045816107888,0.19333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22006,independent_pool_cross_release,matched_kmeans,release_1,logistic,0.9,40,0.875,600,300,0.7193666666666667,0.7104414412013783,0.14,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22006,same_release_cv,matched_kmeans,release_1,logistic,0.9,40,0.875,600,300,0.779788888888889,0.7669952623854361,0.15,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22006,independent_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,40,0.875,600,300,0.7820444444444444,0.8050850671741997,0.2633333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22006,same_release_cv,matched_kmeans,release_1,random_forest,0.9,40,0.875,600,300,0.7841555555555555,0.7949530823286761,0.19,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22007,independent_pool_cross_release,granular_ball,release_1,logistic,0.9,28,0.7142857142857143,600,300,0.6931333333333334,0.7005887622690314,0.10666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22007,same_release_cv,granular_ball,release_1,logistic,0.9,28,0.7142857142857143,600,300,0.682411111111111,0.7065533832769014,0.12666666666666668,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22007,independent_pool_cross_release,granular_ball,release_1,random_forest,0.9,28,0.7142857142857143,600,300,0.7030444444444445,0.7355917714143974,0.19,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22007,same_release_cv,granular_ball,release_1,random_forest,0.9,28,0.7142857142857143,600,300,0.6801,0.6991102081744758,0.10666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22007,independent_pool_cross_release,matched_kmeans,release_1,logistic,0.9,28,0.7857142857142857,600,300,0.6666111111111112,0.6625574641072123,0.12333333333333334,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22007,same_release_cv,matched_kmeans,release_1,logistic,0.9,28,0.7857142857142857,600,300,0.7022111111111111,0.7109086945374712,0.13666666666666666,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22007,independent_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,28,0.7857142857142857,600,300,0.7480444444444445,0.7601636447239519,0.15,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22007,same_release_cv,matched_kmeans,release_1,random_forest,0.9,28,0.7857142857142857,600,300,0.6874500000000001,0.7043573469707851,0.12,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22008,independent_pool_cross_release,granular_ball,release_1,logistic,0.9,40,0.775,600,300,0.6997555555555556,0.7130410335987456,0.13666666666666666,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22008,same_release_cv,granular_ball,release_1,logistic,0.9,40,0.775,600,300,0.6940111111111111,0.7102552113191418,0.14333333333333334,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22008,independent_pool_cross_release,granular_ball,release_1,random_forest,0.9,40,0.775,600,300,0.73875,0.7673624599864048,0.19,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22008,same_release_cv,granular_ball,release_1,random_forest,0.9,40,0.775,600,300,0.7341666666666667,0.7597483598861657,0.19,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22008,independent_pool_cross_release,matched_kmeans,release_1,logistic,0.9,40,0.875,600,300,0.692988888888889,0.6851301881171457,0.13666666666666666,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22008,same_release_cv,matched_kmeans,release_1,logistic,0.9,40,0.875,600,300,0.7118444444444445,0.7079708129418876,0.13,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22008,independent_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,40,0.875,600,300,0.7287888888888889,0.7527142911964844,0.21333333333333335,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22008,same_release_cv,matched_kmeans,release_1,random_forest,0.9,40,0.875,600,300,0.7111333333333333,0.7279605130082902,0.22,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2001,fixed_noise_same_pool_cross_release,granular_ball,release_1,logistic,0.9,50,0.76,600,300,0.76,0.7841626008018494,0.26,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2001,fixed_noise_same_pool_cross_release,granular_ball,release_1,random_forest,0.9,50,0.76,600,300,0.7912111111111112,0.823553708242138,0.33,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2001,fixed_noise_same_pool_cross_release,matched_kmeans,release_1,logistic,0.9,50,0.88,600,300,0.7573000000000001,0.781198137665161,0.2,,60,0.0,0.05
