source_dataset_id,task_id,parent_dataset,outer_seed,shadow_release_count,target_release_id,attack_protocol,method,release,attack,threshold,candidate_pool_size,negative_count,number_of_balls,small_ball_ratio,loader_note,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,granular_ball,release_1,logistic,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5425319444444444,0.5409791523892528,0.018333333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,granular_ball,release_1,random_forest,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5186666666666667,0.5229133926310379,0.015,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,matched_kmeans,release_1,logistic,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5360875,0.5368936904400166,0.025,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,matched_kmeans,release_1,random_forest,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5105347222222222,0.5048858188973677,0.006666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,granular_ball,release_1,logistic,0.9,1200,600,34,0.23529411764705882,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5386083333333334,0.549698461784417,0.021666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,granular_ball,release_1,random_forest,0.9,1200,600,34,0.23529411764705882,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.48149861111111114,0.5118748297905867,0.03,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,matched_kmeans,release_1,logistic,0.9,1200,600,34,0.08823529411764706,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5496944444444445,0.5646166829480374,0.03333333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,matched_kmeans,release_1,random_forest,0.9,1200,600,34,0.08823529411764706,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5624722222222223,0.5661359679356894,0.028333333333333332,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,granular_ball,release_1,logistic,0.9,1200,600,32,0.25,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5420013888888888,0.541504052484528,0.006666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,granular_ball,release_1,random_forest,0.9,1200,600,32,0.25,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5325694444444444,0.5290643813048085,0.025,
