dataset,seed,threshold,method,member,attack_score,nearest_ball,ball_size,ball_size_bin,purity,radius,refinement_depth,normalized_distance,dimension,redundant_fraction,label_noise
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5854857837902353,37,50,>20,0.92,8.781214611436976,2,1.1439717920847787,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6126691961510717,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9340941387132426,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.421423404333644,37,50,>20,0.92,8.781214611436976,2,1.0241081924531594,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5740594848869612,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.8253957237116181,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5751797059771879,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9450464033558116,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4686349169360465,37,50,>20,0.92,8.781214611436976,2,1.190985797057512,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7268772464745333,1,29,>20,0.9655172413793104,8.578064907965983,4,0.950775042436499,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.48291227794690494,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.9058033215514197,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5558229586807797,0,95,>20,0.9052631578947369,8.751165166033246,1,1.127433034413255,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6007534184788812,37,50,>20,0.92,8.781214611436976,2,0.9513511982277034,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5600523237050903,1,29,>20,0.9655172413793104,8.578064907965983,4,1.0650149968998135,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.8525971959456059,1,29,>20,0.9655172413793104,8.578064907965983,4,0.9261245280864758,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7238380851926842,37,50,>20,0.92,8.781214611436976,2,0.890695505427815,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4968332388034155,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.9643264032027257,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4173126708674438,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9699249660628646,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6323406467259058,1,29,>20,0.9655172413793104,8.578064907965983,4,0.9552076620839702,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5982886323914584,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9641878681823046,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.503776189863746,0,95,>20,0.9052631578947369,8.751165166033246,1,1.0027850178222513,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5625527289475807,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9077175747335197,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6370416945782701,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9667233227987047,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999987345788383,4,1,1-2,1.0,0.0,17,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4587839962997683,7,34,>20,0.9117647058823529,1.991772894442036,25,1.068751687186798,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.45541203828729787,1,29,>20,0.9655172413793104,8.578064907965983,4,1.0822133087489143,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5423481397895779,0,95,>20,0.9052631578947369,8.751165166033246,1,1.1547522565599502,60,0.0,0.05
