dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,base_dataset,training_label_noise,split_protocol,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_1,granular_ball,logistic,476,166,2,40,5.975,3.5,1,26,6,0.425,0.675,4.652978160848228,4.367164176460957,0.9168398268398269,1.0,0.9166666666666666,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.7987858071178051,0.785094795601998,0.07172995780590717,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_1,granular_ball,random_forest,476,166,2,40,5.975,3.5,1,26,6,0.425,0.675,4.652978160848228,4.367164176460957,0.9168398268398269,1.0,0.9166666666666666,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.7847211095088037,0.792509127658025,0.07172995780590717,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_1,matched_kmeans,logistic,476,166,2,40,5.975,5.0,1,17,5,0.2,0.525,5.000966195289232,5.828116780470208,0.9054026610644257,1.0,0.8,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8422973526322347,0.8327739572283952,0.16455696202531644,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_1,matched_kmeans,random_forest,476,166,2,40,5.975,5.0,1,17,5,0.2,0.525,5.000966195289232,5.828116780470208,0.9054026610644257,1.0,0.8,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8142035642436218,0.7868264045854577,0.016877637130801686,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_2,granular_ball,logistic,476,166,2,40,5.975,3.5,1,26,6,0.425,0.675,4.652978160848228,4.367164176460957,0.9168398268398269,1.0,0.9166666666666666,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8127258808239419,0.7821565850109831,0.04219409282700422,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_2,granular_ball,random_forest,476,166,2,40,5.975,3.5,1,26,6,0.425,0.675,4.652978160848228,4.367164176460957,0.9168398268398269,1.0,0.9166666666666666,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.822099378660827,0.8212126804320375,0.189873417721519,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_2,matched_kmeans,logistic,476,166,2,40,5.975,5.0,1,17,5,0.2,0.525,5.000966195289232,5.828116780470208,0.9054026610644257,1.0,0.8,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8574302551229326,0.8348887325520276,0.13924050632911392,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_2,matched_kmeans,random_forest,476,166,2,40,5.975,5.0,1,17,5,0.2,0.525,5.000966195289232,5.828116780470208,0.9054026610644257,1.0,0.8,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8534066834018764,0.8571797457204982,0.25738396624472576,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_3,granular_ball,logistic,476,166,2,40,5.975,3.5,1,26,6,0.425,0.675,4.652978160848228,4.367164176460957,0.9168398268398269,1.0,0.9166666666666666,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8180312984030337,0.8015865238651687,0.05063291139240506,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_3,granular_ball,random_forest,476,166,2,40,5.975,3.5,1,26,6,0.425,0.675,4.652978160848228,4.367164176460957,0.9168398268398269,1.0,0.9166666666666666,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8321672096708148,0.840505845029424,0.18143459915611815,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_3,matched_kmeans,logistic,476,166,2,40,5.975,5.0,1,17,5,0.2,0.525,5.000966195289232,5.828116780470208,0.9054026610644257,1.0,0.8,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8609731346472254,0.8379568362578588,0.0970464135021097,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.7,release_3,matched_kmeans,random_forest,476,166,2,40,5.975,5.0,1,17,5,0.2,0.525,5.000966195289232,5.828116780470208,0.9054026610644257,1.0,0.8,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8673734622300557,0.8741517218124869,0.31645569620253167,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.8,release_1,granular_ball,logistic,476,166,2,43,5.558139534883721,3.0,1,26,7,0.4883720930232558,0.7209302325581395,4.375569251402242,4.244004740655803,0.9226416993858855,1.0,0.930952380952381,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8063522583631542,0.7961225268697807,0.0759493670886076,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.8,release_1,granular_ball,random_forest,476,166,2,43,5.558139534883721,3.0,1,26,7,0.4883720930232558,0.7209302325581395,4.375569251402242,4.244004740655803,0.9226416993858855,1.0,0.930952380952381,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8062988481190693,0.8258019185831909,0.16877637130801687,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.8,release_1,matched_kmeans,logistic,476,166,2,43,5.558139534883721,5.0,1,17,6,0.23255813953488372,0.5813953488372093,4.775492235948004,5.477385197371663,0.9085141033157449,1.0,0.8166666666666667,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8459648560593922,0.8394779014330186,0.18565400843881857,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.8,release_1,matched_kmeans,random_forest,476,166,2,43,5.558139534883721,5.0,1,17,6,0.23255813953488372,0.5813953488372093,4.775492235948004,5.477385197371663,0.9085141033157449,1.0,0.8166666666666667,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8186099093806192,0.8100707936045339,0.08438818565400844,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.8,release_2,granular_ball,logistic,476,166,2,43,5.558139534883721,3.0,1,26,7,0.4883720930232558,0.7209302325581395,4.375569251402242,4.244004740655803,0.9226416993858855,1.0,0.930952380952381,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8221082803681746,0.7925879321102376,0.05063291139240506,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.8,release_2,granular_ball,random_forest,476,166,2,43,5.558139534883721,3.0,1,26,7,0.4883720930232558,0.7209302325581395,4.375569251402242,4.244004740655803,0.9226416993858855,1.0,0.930952380952381,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.831811141376916,0.8413480792453528,0.22362869198312235,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.8,release_2,matched_kmeans,logistic,476,166,2,43,5.558139534883721,5.0,1,17,6,0.23255813953488372,0.5813953488372093,4.775492235948004,5.477385197371663,0.9085141033157449,1.0,0.8166666666666667,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8589613487866973,0.8353994205427709,0.1308016877637131,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.8,release_2,matched_kmeans,random_forest,476,166,2,43,5.558139534883721,5.0,1,17,6,0.23255813953488372,0.5813953488372093,4.775492235948004,5.477385197371663,0.9085141033157449,1.0,0.8166666666666667,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8522138546173156,0.8512419770800244,0.23628691983122363,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.8,release_3,granular_ball,logistic,476,166,2,43,5.558139534883721,3.0,1,26,7,0.4883720930232558,0.7209302325581395,4.375569251402242,4.244004740655803,0.9226416993858855,1.0,0.930952380952381,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8297459452723033,0.819044183406128,0.046413502109704644,nan
musk1_group_trainnoise0,UCI id=74 cached official retrieval; molecule_name group split,2,0.8,release_3,granular_ball,random_forest,476,166,2,43,5.558139534883721,3.0,1,26,7,0.4883720930232558,0.7209302325581395,4.375569251402242,4.244004740655803,0.9226416993858855,1.0,0.930952380952381,1.0,musk1,0.0,StratifiedGroupKFold_by_molecule,0.8431341131228971,0.8607073746451945,0.3291139240506329,nan
