dataset,seed,threshold,method,ball_size_bin,sample_count,member_count,roc_auc
confirm_d100_redundant0.1_noise0.15,2,0.9,granular_ball,1-2,161,111,0.9825225225225226
confirm_d100_redundant0.1_noise0.15,2,0.9,granular_ball,11-20,65,14,0.907563025210084
confirm_d100_redundant0.1_noise0.15,2,0.9,granular_ball,3-5,59,38,0.9172932330827068
confirm_d100_redundant0.1_noise0.15,2,0.9,granular_ball,6-10,135,36,0.8922558922558923
confirm_d100_redundant0.1_noise0.15,2,0.9,granular_ball,>20,180,101,0.6722646948239128
confirm_d100_redundant0.1_noise0.15,2,0.9,matched_kmeans,1-2,94,94,
confirm_d100_redundant0.1_noise0.15,2,0.9,matched_kmeans,11-20,97,50,0.8285106382978724
confirm_d100_redundant0.1_noise0.15,2,0.9,matched_kmeans,6-10,18,9,0.9135802469135802
confirm_d100_redundant0.1_noise0.15,2,0.9,matched_kmeans,>20,391,147,0.6772331883573101
confirm_d100_redundant0.1_noise0.15,2,0.95,granular_ball,1-2,231,138,0.9927536231884058
confirm_d100_redundant0.1_noise0.15,2,0.95,granular_ball,11-20,99,32,0.8698694029850746
confirm_d100_redundant0.1_noise0.15,2,0.95,granular_ball,3-5,70,51,0.9958720330237358
confirm_d100_redundant0.1_noise0.15,2,0.95,granular_ball,6-10,166,60,0.9257861635220126
confirm_d100_redundant0.1_noise0.15,2,0.95,granular_ball,>20,34,19,0.7719298245614035
confirm_d100_redundant0.1_noise0.15,2,0.95,matched_kmeans,1-2,122,122,
confirm_d100_redundant0.1_noise0.15,2,0.95,matched_kmeans,11-20,126,57,0.8619374523264685
confirm_d100_redundant0.1_noise0.15,2,0.95,matched_kmeans,6-10,21,9,0.9351851851851851
confirm_d100_redundant0.1_noise0.15,2,0.95,matched_kmeans,>20,331,112,0.7493069145466406
confirm_d100_redundant0.1_noise0.15,2,0.99,granular_ball,1-2,231,138,0.9927536231884058
confirm_d100_redundant0.1_noise0.15,2,0.99,granular_ball,11-20,99,32,0.8698694029850746
confirm_d100_redundant0.1_noise0.15,2,0.99,granular_ball,3-5,70,51,0.9958720330237358
confirm_d100_redundant0.1_noise0.15,2,0.99,granular_ball,6-10,166,60,0.9257861635220126
confirm_d100_redundant0.1_noise0.15,2,0.99,granular_ball,>20,34,19,0.7719298245614035
confirm_d100_redundant0.1_noise0.15,2,0.99,matched_kmeans,1-2,122,122,
confirm_d100_redundant0.1_noise0.15,2,0.99,matched_kmeans,11-20,126,57,0.8619374523264685
confirm_d100_redundant0.1_noise0.15,2,0.99,matched_kmeans,6-10,21,9,0.9351851851851851
confirm_d100_redundant0.1_noise0.15,2,0.99,matched_kmeans,>20,331,112,0.7493069145466406
confirm_d100_redundant0.1_noise0.15,13,0.9,granular_ball,1-2,192,95,0.9424850786760716
confirm_d100_redundant0.1_noise0.15,13,0.9,granular_ball,11-20,85,29,0.9039408866995073
confirm_d100_redundant0.1_noise0.15,13,0.9,granular_ball,3-5,57,27,0.962962962962963
confirm_d100_redundant0.1_noise0.15,13,0.9,granular_ball,6-10,45,26,0.9412955465587045
confirm_d100_redundant0.1_noise0.15,13,0.9,granular_ball,>20,221,123,0.7549361207897793
confirm_d100_redundant0.1_noise0.15,13,0.9,matched_kmeans,1-2,78,78,
confirm_d100_redundant0.1_noise0.15,13,0.9,matched_kmeans,6-10,11,8,0.7083333333333333
confirm_d100_redundant0.1_noise0.15,13,0.9,matched_kmeans,>20,511,214,0.6926429403064918
confirm_d100_redundant0.1_noise0.15,13,0.95,granular_ball,1-2,245,126,0.9863945578231292
confirm_d100_redundant0.1_noise0.15,13,0.95,granular_ball,11-20,32,18,0.7976190476190477
confirm_d100_redundant0.1_noise0.15,13,0.95,granular_ball,3-5,131,58,0.9796882380727445
confirm_d100_redundant0.1_noise0.15,13,0.95,granular_ball,6-10,87,50,0.9162162162162162
confirm_d100_redundant0.1_noise0.15,13,0.95,granular_ball,>20,105,48,0.7372076023391813
confirm_d100_redundant0.1_noise0.15,13,0.95,matched_kmeans,1-2,115,115,
confirm_d100_redundant0.1_noise0.15,13,0.95,matched_kmeans,11-20,126,52,0.7598752598752598
confirm_d100_redundant0.1_noise0.15,13,0.95,matched_kmeans,3-5,6,5,0.8
confirm_d100_redundant0.1_noise0.15,13,0.95,matched_kmeans,>20,353,128,0.7578472222222222
confirm_d100_redundant0.1_noise0.15,13,0.99,granular_ball,1-2,251,133,0.9864279342423856
confirm_d100_redundant0.1_noise0.15,13,0.99,granular_ball,11-20,85,32,0.8879716981132076
confirm_d100_redundant0.1_noise0.15,13,0.99,granular_ball,3-5,148,66,0.983739837398374
