dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,dimension,separation,density_ratio,minority_fraction,modes,redundant_fraction,label_noise,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_1,granular_ball,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.4693333333333333,0.48834077714807755,0.02666666666666667,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_1,granular_ball,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.40702222222222223,0.447457457618334,0.0033333333333333335,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_1,matched_kmeans,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.4693333333333333,0.48834077714807755,0.02666666666666667,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_1,matched_kmeans,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.40702222222222223,0.447457457618334,0.0033333333333333335,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_2,granular_ball,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.45646666666666663,0.4825968306942359,0.03,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_2,granular_ball,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.40698333333333336,0.4481528490668123,0.0033333333333333335,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_2,matched_kmeans,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.45646666666666663,0.4825968306942359,0.03,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_2,matched_kmeans,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.40698333333333336,0.4481528490668123,0.0033333333333333335,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_3,granular_ball,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.45646666666666663,0.4825968306942359,0.03,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_3,granular_ball,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.4070555555555555,0.4484482150469571,0.0033333333333333335,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_3,matched_kmeans,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.45646666666666663,0.4825968306942359,0.03,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.7,release_3,matched_kmeans,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.4070555555555555,0.4484482150469571,0.0033333333333333335,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.8,release_1,granular_ball,logistic,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.4693333333333333,0.48834077714807755,0.02666666666666667,nan
syn_sep0.75_density1_minority0.1_modes1,controlled_gaussian_mixture,1,0.8,release_1,granular_ball,random_forest,600,20,2,1,300.0,300.0,300,300,0,0.0,0.0,4.338147803545377,4.338147803545377,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,20,0.75,1.0,0.1,1,0.5,0.02,0.40702222222222223,0.447457457618334,0.0033333333333333335,nan
