dataset,source,seed,method,release,attack,n_total,pool_samples,reference_samples,feature_count,shadow_runs,selected_count_mean,selection_stability_jaccard,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,mask,logistic,569,456,113,30,12,1.75,0.2803030303030303,0.509466387627817,0.5065012826885136,0.008771929824561403,nan
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,mask,random_forest,569,456,113,30,12,1.75,0.2803030303030303,0.502989635165521,0.5015722556456091,0.006944444444444444,nan
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,mask_count,logistic,569,456,113,30,12,1.75,0.2803030303030303,0.5094245745485791,0.5065058296376509,0.008771929824561403,nan
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,mask_count,random_forest,569,456,113,30,12,1.75,0.2803030303030303,0.5028820967348928,0.503583785243958,0.008406432748538011,nan
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,ranking,logistic,569,456,113,30,12,1.75,0.2803030303030303,0.5096176093712596,0.5074784364615458,0.009137426900584795,nan
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,ranking,random_forest,569,456,113,30,12,1.75,0.2803030303030303,0.5086360039200095,0.5054916127745812,0.006578947368421052,nan
breast_cancer,sklearn.load_breast_cancer,1,FRFS,mask,logistic,569,456,113,30,12,1.75,0.48358585858585856,0.5045792001171301,0.5055779675144162,0.008771929824561403,nan
breast_cancer,sklearn.load_breast_cancer,1,FRFS,mask,random_forest,569,456,113,30,12,1.75,0.48358585858585856,0.49476120857699807,0.49715097095160565,0.0062134502923976605,nan
breast_cancer,sklearn.load_breast_cancer,1,FRFS,mask_count,logistic,569,456,113,30,12,1.75,0.48358585858585856,0.5046617575707055,0.505636039822358,0.008771929824561403,nan
breast_cancer,sklearn.load_breast_cancer,1,FRFS,mask_count,random_forest,569,456,113,30,12,1.75,0.48358585858585856,0.49428329710423724,0.4967071412562233,0.006578947368421052,nan
