dataset,source,seed,method,release,attack,n_total,pool_samples,reference_samples,feature_count,shadow_runs,selected_count_mean,selection_stability_jaccard,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,mask,logistic,569,456,113,30,24,1.8333333333333333,0.3497584541062802,0.5086222276458996,0.5099960859171444,0.014071637426900584,nan
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,mask,random_forest,569,456,113,30,24,1.8333333333333333,0.3497584541062802,0.5055969077558052,0.5065421852154359,0.010599415204678362,nan
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,mask_count,logistic,569,456,113,30,24,1.8333333333333333,0.3497584541062802,0.5086545559691443,0.5100165269483147,0.014071637426900584,nan
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,mask_count,random_forest,569,456,113,30,24,1.8333333333333333,0.3497584541062802,0.5059644921460877,0.5073724293639641,0.011513157894736841,nan
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,ranking,logistic,569,456,113,30,24,1.8333333333333333,0.3497584541062802,0.5085230384723077,0.5092505401886143,0.0133406432748538,nan
breast_cancer,sklearn.load_breast_cancer,1,GBFRS,ranking,random_forest,569,456,113,30,24,1.8333333333333333,0.3497584541062802,0.5063578757406125,0.5090838489324083,0.014071637426900584,nan
breast_cancer,sklearn.load_breast_cancer,1,FRFS,mask,logistic,569,456,113,30,24,1.8333333333333333,0.45108695652173914,0.4969731939421532,0.4973432426596716,0.008954678362573099,nan
breast_cancer,sklearn.load_breast_cancer,1,FRFS,mask,random_forest,569,456,113,30,24,1.8333333333333333,0.45108695652173914,0.5032866182383041,0.5054616526826712,0.010416666666666666,nan
breast_cancer,sklearn.load_breast_cancer,1,FRFS,mask_count,logistic,569,456,113,30,24,1.8333333333333333,0.45108695652173914,0.4969706390695,0.49735289063853594,0.008954678362573099,nan
breast_cancer,sklearn.load_breast_cancer,1,FRFS,mask_count,random_forest,569,456,113,30,24,1.8333333333333333,0.45108695652173914,0.503172667578272,0.5056481241325734,0.011878654970760233,nan
breast_cancer,sklearn.load_breast_cancer,1,MutualInformation,mask,logistic,569,456,113,30,24,1.8333333333333333,0.30374396135265697,0.4981588552353715,0.49432194188148976,0.006761695906432748,nan
breast_cancer,sklearn.load_breast_cancer,1,MutualInformation,mask,random_forest,569,456,113,30,24,1.8333333333333333,0.30374396135265697,0.5157865915206815,0.5106057940391575,0.009685672514619883,nan
breast_cancer,sklearn.load_breast_cancer,1,MutualInformation,mask_count,logistic,569,456,113,30,24,1.8333333333333333,0.30374396135265697,0.4981574525601895,0.49433335677720885,0.006761695906432748,nan
breast_cancer,sklearn.load_breast_cancer,1,MutualInformation,mask_count,random_forest,569,456,113,30,24,1.8333333333333333,0.30374396135265697,0.5147546400495023,0.509563065699409,0.008954678362573099,nan
breast_cancer,sklearn.load_breast_cancer,1,MutualInformation,ranking,logistic,569,456,113,30,24,1.8333333333333333,0.30374396135265697,0.49415481873696177,0.4969946538846393,0.008406432748538011,nan
breast_cancer,sklearn.load_breast_cancer,1,MutualInformation,ranking,random_forest,569,456,113,30,24,1.8333333333333333,0.30374396135265697,0.5140109383282463,0.5143019625869643,0.011330409356725146,nan
breast_cancer,sklearn.load_breast_cancer,1,ReliefF,mask,logistic,569,456,113,30,24,1.8333333333333333,0.4333937198067633,0.4987253022297459,0.4992028134774901,0.011695906432748537,nan
breast_cancer,sklearn.load_breast_cancer,1,ReliefF,mask,random_forest,569,456,113,30,24,1.8333333333333333,0.4333937198067633,0.5065195674523785,0.5036838121751495,0.009868421052631578,nan
breast_cancer,sklearn.load_breast_cancer,1,ReliefF,mask_count,logistic,569,456,113,30,24,1.8333333333333333,0.4333937198067633,0.49879311489539513,0.4992047116664715,0.011695906432748537,nan
breast_cancer,sklearn.load_breast_cancer,1,ReliefF,mask_count,random_forest,569,456,113,30,24,1.8333333333333333,0.4333937198067633,0.506697206245084,0.5033039835690383,0.009685672514619883,nan
breast_cancer,sklearn.load_breast_cancer,1,ReliefF,ranking,logistic,569,456,113,30,24,1.8333333333333333,0.4333937198067633,0.49997926044552166,0.49899652594065924,0.008406432748538011,nan
breast_cancer,sklearn.load_breast_cancer,1,ReliefF,ranking,random_forest,569,456,113,30,24,1.8333333333333333,0.4333937198067633,0.5121285816308864,0.515234422076299,0.014071637426900584,nan
