experiment,domain,dataset,seed,model,variant,fit_samples,train_samples,test_samples,n_features,fit_seconds,predict_seconds,split_protocol,accuracy,macro_f1,balanced_accuracy,mcc,minority_recall,g_mean,gb_feature_seconds,n_balls,average_ball_size,compression_ratio
fault_gbfeat_v1,industrial_tabular,aps_failure,1,catboost,gbfeat,48000,48000,16000,182,1.5668043749974458,0.005738416002714075,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.977875,0.8272981180861314,0.9600426666666666,0.6876223249323417,0.9413333333333334,0.9598603453975305,0.42898533300467534,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,1,catboost,raw,48000,48000,16000,170,1.5628485420020297,0.0036467919999267906,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.978875,0.8329724079559986,0.961856,0.6971786198656262,0.944,0.9616902453493016,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,1,extra_trees,gbfeat,48000,48000,16000,182,3.60222999999678,0.054680084002029616,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9891875,0.857502036439015,0.7966613333333333,0.7324849191761384,0.5946666666666667,0.77062794827768,0.42898533300467534,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,1,extra_trees,raw,48000,48000,16000,170,2.542114665993722,0.03765883299638517,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9895,0.8609598405672838,0.7981226666666668,0.7405899099335838,0.5973333333333334,0.772452868896651,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,1,lightgbm,gbfeat,48000,48000,16000,182,1.9180694580063573,0.02311287500197068,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9916875,0.9135854372619513,0.9345813333333334,0.8282457271355474,0.8746666666666667,0.932658834372641,0.42898533300467534,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,1,lightgbm,raw,48000,48000,16000,170,1.9057959580022725,0.025201333002769388,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9910625,0.9091080668934437,0.9394666666666667,0.8203955524607041,0.8853333333333333,0.9379057521947501,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,1,random_forest,gbfeat,48000,48000,16000,182,5.875464875003672,0.032658541000273544,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9876875,0.8296315582458731,0.7607573333333333,0.6868299703159139,0.5226666666666666,0.7225403481236647,0.42898533300467534,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,1,random_forest,raw,48000,48000,16000,170,6.0891912919978495,0.04490383400116116,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.988125,0.8391670206050326,0.7739946666666666,0.7010155822162906,0.5493333333333333,0.7406720119819119,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,1,xgboost,gbfeat,48000,48000,16000,182,1.3109799579979153,0.005045750003773719,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9901875,0.9018671762072906,0.9390186666666667,0.8069565522831678,0.8853333333333333,0.9374827685527523,0.42898533300467534,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,1,xgboost,raw,48000,48000,16000,170,1.314061999997648,0.0050765000050887465,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9899375,0.8993669768749923,0.936288,0.801937336641385,0.88,0.9345945003048114,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,7,catboost,gbfeat,48000,48000,16000,182,1.8213627910008654,0.007147374999476597,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.977625,0.8278547382502444,0.9677226666666667,0.6914384530255606,0.9573333333333334,0.9676668958548357,0.4806678329987335,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,7,catboost,raw,48000,48000,16000,170,1.5882160420005675,0.003957166998588946,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9771875,0.8246460620384817,0.9635946666666666,0.6848700732079303,0.9493333333333334,0.9634891260413891,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,7,extra_trees,gbfeat,48000,48000,16000,182,3.277809208004328,0.05088350000005448,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9885625,0.8478188749397031,0.7859306666666667,0.7146974610448422,0.5733333333333334,0.756630284000493,0.4806678329987335,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,7,extra_trees,raw,48000,48000,16000,170,2.834172666000086,0.05528133399639046,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989125,0.8550713773466567,0.7914239999999999,0.7299403083036096,0.584,0.763758621555266,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,7,lightgbm,gbfeat,48000,48000,16000,182,2.153663000004599,0.028436458997020964,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9908125,0.9058838556359183,0.932832,0.8135235307771167,0.872,0.9308463933431766,0.4806678329987335,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,7,lightgbm,raw,48000,48000,16000,170,1.9566308339999523,0.026470167002116796,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99125,0.9104744709161131,0.9382613333333334,0.8227894584389869,0.8826666666666667,0.936612813635745,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,7,random_forest,gbfeat,48000,48000,16000,182,7.2726565830016625,0.038063208005041815,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989,0.8515017309329488,0.7848533333333334,0.7256539964075822,0.5706666666666667,0.7550621343086056,0.4806678329987335,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,7,random_forest,raw,48000,48000,16000,170,6.579780790998484,0.042662250001740176,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989,0.8515017309329488,0.7848533333333334,0.7256539964075822,0.5706666666666667,0.7550621343086056,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,7,xgboost,gbfeat,48000,48000,16000,182,1.5283057089982321,0.005858541997440625,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99075,0.9055881000179256,0.9341013333333333,0.8131297742658229,0.8746666666666667,0.9322085717978211,0.4806678329987335,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,7,xgboost,raw,48000,48000,16000,170,1.3523009580021608,0.005137124993780162,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99025,0.9009647053446048,0.9312426666666667,0.8041386834830976,0.8693333333333333,0.9291825109560913,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,21,catboost,gbfeat,48000,48000,16000,182,2.006580415996723,0.0067577089939732105,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9758125,0.8176689129530719,0.9628906666666667,0.673844920105602,0.9493333333333334,0.9627952194868162,0.4920447080003214,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,21,catboost,raw,48000,48000,16000,170,1.6203483329954906,0.003894665998814162,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.976625,0.8217594321846468,0.9633066666666668,0.6802990293200868,0.9493333333333334,0.9632053155999505,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,21,extra_trees,gbfeat,48000,48000,16000,182,2.9979037500015693,0.0512472920017899,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9889375,0.8532777425910312,0.791328,0.7251939002042149,0.584,0.7636852126367251,0.4920447080003214,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,21,extra_trees,raw,48000,48000,16000,170,2.729259957995964,0.04253966700343881,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.98925,0.8567372235840516,0.7927893333333333,0.7333601084376772,0.5866666666666667,0.7655249005312194,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,21,lightgbm,gbfeat,48000,48000,16000,182,2.154053999998723,0.060238958001718856,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.991375,0.9117534070458829,0.9396266666666666,0.8253527278594894,0.8853333333333333,0.9380567715584525,0.4920447080003214,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,21,lightgbm,raw,48000,48000,16000,170,1.958799457999703,0.02716195900575258,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9911875,0.9095051629189863,0.9356266666666666,0.8206523207650382,0.8773333333333333,0.9338089454843891,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,21,random_forest,gbfeat,48000,48000,16000,182,7.0594450420030626,0.05349945800116984,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9885,0.8437367303609342,0.7767893333333333,0.711261087019775,0.5546666666666666,0.7443542095893146,0.4920447080003214,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,21,random_forest,raw,48000,48000,16000,170,6.600687541002117,0.04452562500227941,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9890625,0.8521053151712321,0.7848853333333333,0.7273022414243889,0.5706666666666667,0.7550863191273786,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,21,xgboost,gbfeat,48000,48000,16000,182,1.4017092499998398,0.005476499994983897,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9903125,0.9033465139328534,0.9416853333333334,0.8100960041620003,0.8906666666666667,0.940302271967194,0.4920447080003214,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,21,xgboost,raw,48000,48000,16000,170,1.333597999997437,0.00524329200561624,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99,0.8989127433754678,0.9311146666666666,0.800315196235808,0.8693333333333333,0.9290627477911991,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,42,catboost,gbfeat,48000,48000,16000,182,1.7910683340014657,0.007410499994875863,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.978625,0.8322351562757726,0.9643306666666667,0.6969547248692359,0.9493333333333334,0.964214039861828,0.47412045899545774,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,42,catboost,raw,48000,48000,16000,170,1.6356253750054748,0.0040745419973973185,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9783125,0.829626309306623,0.9602666666666666,0.6913414405629152,0.9413333333333334,0.9600799966669444,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,42,extra_trees,gbfeat,48000,48000,16000,182,2.8804259169992292,0.05234358300367603,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989375,0.8597509878789791,0.7980586666666667,0.7374243814534066,0.5973333333333334,0.7724033764814858,0.47412045899545774,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,42,extra_trees,raw,48000,48000,16000,170,2.864779499999713,0.044726291998813394,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9888125,0.8511452383289992,0.7886613333333333,0.7215228937848064,0.5786666666666667,0.7601900674612019,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,42,lightgbm,gbfeat,48000,48000,16000,182,2.004594541998813,0.02772187499795109,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.991125,0.9091955347863434,0.936896,0.8202261890184842,0.88,0.9351668086496655,0.47412045899545774,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,42,lightgbm,raw,48000,48000,16000,170,1.9777670839976054,0.02772579200245673,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9910625,0.9086670170691684,0.9368639999999999,0.819233717532538,0.88,0.9351366958899645,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,42,random_forest,gbfeat,48000,48000,16000,182,7.2107723750013974,0.038404875005653594,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.98875,0.8481267702723341,0.7821226666666667,0.718697717692722,0.5653333333333334,0.7514773786792698,0.47412045899545774,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,42,random_forest,raw,48000,48000,16000,170,6.816501125002105,0.04554912500316277,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.988,0.8358692390744051,0.7687253333333333,0.6966720348968091,0.5386666666666666,0.7334927729705317,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,42,xgboost,gbfeat,48000,48000,16000,182,1.3852978340000845,0.005558374999964144,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9899375,0.899605088665738,0.9375893333333334,0.8025835218977468,0.8826666666666667,0.9359793046145126,0.47412045899545774,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,42,xgboost,raw,48000,48000,16000,170,1.352622957994754,0.005074167005659547,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9905,0.9041969156764258,0.9378773333333333,0.8110676799255409,0.8826666666666667,0.9362508609697866,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,2026,catboost,gbfeat,48000,48000,16000,182,1.779911584002548,0.007340333999309223,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.97875,0.8335213562721319,0.9669973333333333,0.6999729851892785,0.9546666666666667,0.9669187128881793,0.49429208399669733,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,2026,catboost,raw,48000,48000,16000,170,1.6500502089984366,0.00403316700248979,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9791875,0.8365001757899293,0.969824,0.70569698936348,0.96,0.9697742417697017,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,2026,extra_trees,gbfeat,48000,48000,16000,182,3.1099635420032428,0.05162212499999441,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.988875,0.8507833038253125,0.7860906666666667,0.7226147763312126,0.5733333333333334,0.75675151359831,0.49429208399669733,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,2026,extra_trees,raw,48000,48000,16000,170,2.813788375002332,0.05436987500434043,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989,0.853873726558305,0.7913600000000001,0.7267662247543897,0.584,0.7637096830602581,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,2026,lightgbm,gbfeat,48000,48000,16000,182,2.091955667005095,0.02920224999979837,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9908125,0.9058838556359183,0.932832,0.8135235307771167,0.872,0.9308463933431766,0.49429208399669733,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,2026,lightgbm,raw,48000,48000,16000,170,1.9822836250023101,0.026814582997758407,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99125,0.9095956325650092,0.933056,0.8205310640137529,0.872,0.9310562088295207,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,2026,random_forest,gbfeat,48000,48000,16000,182,7.395187292000628,0.03828891699959058,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9885,0.845254322208675,0.7806933333333334,0.7119994759035041,0.5626666666666666,0.749630878054882,0.49429208399669733,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,2026,random_forest,raw,48000,48000,16000,170,6.709864292002749,0.045179833003203385,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9884375,0.843654190323874,0.7780586666666667,0.7098740014022379,0.5573333333333333,0.7460935705392454,0.0,,,
fault_gbfeat_v1,industrial_tabular,aps_failure,2026,xgboost,gbfeat,48000,48000,16000,182,1.3661669170032837,0.005136833002325147,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99075,0.9067180494744145,0.940608,0.8161256158116565,0.888,0.9391356707100418,0.49429208399669733,1.0,12000.0,8.333333333333333e-05
raw_baseline_v1,industrial_tabular,aps_failure,2026,xgboost,raw,48000,48000,16000,170,1.3467265420040349,0.005299083000863902,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9905625,0.9042543372567258,0.9353066666666667,0.8108071748082979,0.8773333333333333,0.9335082502759863,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,1,catboost,gbfeat,940,940,314,602,1.4667108329958864,0.0007903750010882504,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013970458996482193,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,1,catboost,raw,940,940,314,590,1.4488792920019478,0.000720042000466492,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,1,extra_trees,gbfeat,940,940,314,602,0.12068654099857667,0.015952333000313956,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013970458996482193,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,1,extra_trees,raw,940,940,314,590,0.12268016600137344,0.015892541996436194,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,1,lightgbm,gbfeat,940,940,314,602,0.8064770830023917,0.0011120409981231205,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013970458996482193,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,1,lightgbm,raw,940,940,314,590,0.7984653750027064,0.0011222500033909455,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,1,random_forest,gbfeat,940,940,314,602,0.2727944159996696,0.015851790994929615,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013970458996482193,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,1,random_forest,raw,940,940,314,590,0.27284570899792016,0.015970458000083454,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
