experiment,dataset,seed,model,variant,train_samples,test_samples,n_features,fit_seconds,predict_seconds,gb_feature_seconds,n_balls,split_protocol,validation_pr_auc,validation_roc_auc,pr_auc,roc_auc,macro_f1,mcc,recall_positive,threshold
finance_gb_v1,australian_credit,1,catboost,gbfeat,414,138,26,0.09775591599463951,0.0002671250040293671,0.3805168330000015,54.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.8810819215475395,0.9233870967741936,0.9242011916852519,0.92931658505429,0.853097721950181,0.7061954439003619,0.8360655737704918,0.6770255275520323
finance_gb_v1,australian_credit,1,catboost,gbweight,414,138,14,0.06439604199840687,0.00017983399447984993,0.3805168330000015,54.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.8852555594180713,0.926358234295416,0.9333979076037734,0.9452842239727486,0.8356075373619233,0.677174153062715,0.7540983606557377,0.8200000000000001
finance_gb_v1,australian_credit,1,catboost,raw,414,138,14,0.06491245800134493,0.0001687499971012585,0.0,,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.8959186297943156,0.9261460101867572,0.9322206988032177,0.9450713221205024,0.8583850931677018,0.7214353695002401,0.7868852459016393,0.73
finance_gb_v1,australian_credit,1,lightgbm,gbfeat,414,138,26,0.3549489170036395,0.0005610419975710101,0.3805168330000015,54.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.8954441978912124,0.9235993208828522,0.9153241423352224,0.9261230572705983,0.8043375518563252,0.6334659018605756,0.9180327868852459,0.15
finance_gb_v1,australian_credit,1,lightgbm,gbweight,414,138,14,0.3576182079996215,0.0005659169983118773,0.3805168330000015,54.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.8977521628153713,0.9282682512733447,0.9336715021087527,0.942303598041303,0.8610860927152317,0.7229999246673924,0.8688524590163934,0.5900000000000001
finance_gb_v1,australian_credit,1,lightgbm,raw,414,138,14,0.3647695420004311,0.0005842499958816916,0.0,,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.9148639602142222,0.9316638370118846,0.9332958409796666,0.9401745795188419,0.8389219015280136,0.6782029522956753,0.8360655737704918,0.6
finance_gb_v1,australian_credit,1,xgboost,gbfeat,414,138,26,0.24193574999662815,0.00035799999750452116,0.3805168330000015,54.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.8958124089604902,0.9252971137521223,0.9023442881530566,0.9210134128166916,0.8384074941451991,0.6768149882903981,0.819672131147541,0.6900000000000001
finance_gb_v1,australian_credit,1,xgboost,gbweight,414,138,14,0.25050870899576694,0.0003516669967211783,0.3805168330000015,54.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.8921132016325866,0.9335738539898133,0.9309396650949002,0.9429423035980413,0.8834459459459459,0.7702714890817567,0.9180327868852459,0.5800000000000001
finance_gb_v1,australian_credit,1,xgboost,raw,414,138,14,0.32690095800353447,0.0003967500015278347,0.0,,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.8918599412852043,0.9331494057724958,0.9307035919968842,0.9416648924845646,0.8688766891891893,0.7410769091605036,0.9016393442622951,0.56
finance_gb_v1,australian_credit,7,catboost,gbfeat,414,138,26,0.1024312080044183,0.0002695419971132651,0.476801417004026,81.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.9518150795034941,0.9547962648556876,0.9143110387756648,0.9244198424526293,0.8434782608695652,0.6915380478813112,0.7704918032786885,0.62
finance_gb_v1,australian_credit,7,catboost,gbweight,414,138,14,0.06475737500295509,0.000171125000633765,0.476801417004026,81.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.96538753739696,0.9637096774193549,0.9337559448224197,0.9286778794975517,0.8719082719082719,0.7558167927053012,0.7704918032786885,0.703442146512121
finance_gb_v1,australian_credit,7,catboost,raw,414,138,14,0.06801891600480303,0.0001691249999566935,0.0,,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.9608124492416572,0.9603140916808149,0.9293590316743425,0.9291036832020437,0.8389219015280136,0.6782029522956753,0.8360655737704918,0.43000000000000005
