experiment,dataset,seed,model,variant,train_samples,test_samples,n_features,fit_seconds,predict_seconds,gb_feature_seconds,n_balls,validation_pr_auc,split_protocol,pr_auc,roc_auc,macro_f1,mcc,recall_positive,threshold
intrusion_gb_v1,unsw_nb15_openml_diagnostic,1,catboost,gbfeat,32577,10860,201,0.7575757919985335,0.003154250000079628,9.45298900000489,256.0,0.9952621661248428,"diagnostic seeded stratified 60/20/20 on OpenML UNSW_NB15 46301; source/destination IP, ports, timestamps, campaign files, and official raw split are unavailable in this transformed mirror, so this is not a leakage-safe primary IIoT result",0.9953997517284155,0.9949533630802019,0.9709207018871605,0.9421520302303273,0.9567464114832536,0.4723801274585829
intrusion_gb_v1,unsw_nb15_openml_diagnostic,1,catboost,gbweight,32577,10860,189,0.6833317080017878,0.003426916999160312,9.45298900000489,256.0,0.9951749831138008,"diagnostic seeded stratified 60/20/20 on OpenML UNSW_NB15 46301; source/destination IP, ports, timestamps, campaign files, and official raw split are unavailable in this transformed mirror, so this is not a leakage-safe primary IIoT result",0.9953789491790163,0.9949299278687969,0.9720305502774059,0.9443367791320544,0.9586602870813398,0.46259327650057824
intrusion_gb_v1,unsw_nb15_openml_diagnostic,1,catboost,raw,32577,10860,189,0.7304534590002731,0.0032285420020343736,0.0,,0.9952984927684777,"diagnostic seeded stratified 60/20/20 on OpenML UNSW_NB15 46301; source/destination IP, ports, timestamps, campaign files, and official raw split are unavailable in this transformed mirror, so this is not a leakage-safe primary IIoT result",0.9955166666041152,0.9951072543017624,0.9717507487008775,0.9438261751441762,0.9573205741626795,0.4791278945548229
intrusion_gb_v1,unsw_nb15_openml_diagnostic,1,lightgbm,gbfeat,32577,10860,201,1.132815707998816,0.01694504100305494,9.45298900000489,256.0,0.9966978318115246,"diagnostic seeded stratified 60/20/20 on OpenML UNSW_NB15 46301; source/destination IP, ports, timestamps, campaign files, and official raw split are unavailable in this transformed mirror, so this is not a leakage-safe primary IIoT result",0.9967272468924584,0.9964795048037938,0.9746174900800196,0.9494701532716633,0.9622966507177033,0.47952966026594
intrusion_gb_v1,unsw_nb15_openml_diagnostic,1,lightgbm,gbweight,32577,10860,189,1.040368000001763,0.016571375002968125,9.45298900000489,256.0,0.9968206280725012,"diagnostic seeded stratified 60/20/20 on OpenML UNSW_NB15 46301; source/destination IP, ports, timestamps, campaign files, and official raw split are unavailable in this transformed mirror, so this is not a leakage-safe primary IIoT result",0.996785890306088,0.9965661981039556,0.9742528327904467,0.94866830797465,0.9638277511961723,0.4726522172970393
intrusion_gb_v1,unsw_nb15_openml_diagnostic,1,lightgbm,raw,32577,10860,189,1.1516712500015274,0.015730209001048934,0.0,,0.9967764671619431,"diagnostic seeded stratified 60/20/20 on OpenML UNSW_NB15 46301; source/destination IP, ports, timestamps, campaign files, and official raw split are unavailable in this transformed mirror, so this is not a leakage-safe primary IIoT result",0.996715002085076,0.9964959943619637,0.9746156502178884,0.949499198660801,0.9615311004784689,0.5029792962142507
intrusion_gb_v1,unsw_nb15_openml_diagnostic,1,xgboost,gbfeat,32577,10860,201,0.6397790420014644,0.005104832998767961,9.45298900000489,256.0,0.9961693256940404,"diagnostic seeded stratified 60/20/20 on OpenML UNSW_NB15 46301; source/destination IP, ports, timestamps, campaign files, and official raw split are unavailable in this transformed mirror, so this is not a leakage-safe primary IIoT result",0.9962869224899908,0.9960018680240975,0.9733073764875505,0.9472080707720174,0.9542583732057416,0.5749421119689941
intrusion_gb_v1,unsw_nb15_openml_diagnostic,1,xgboost,gbweight,32577,10860,189,0.5770909170023515,0.004671667004004121,9.45298900000489,256.0,0.9961430520812127,"diagnostic seeded stratified 60/20/20 on OpenML UNSW_NB15 46301; source/destination IP, ports, timestamps, campaign files, and official raw split are unavailable in this transformed mirror, so this is not a leakage-safe primary IIoT result",0.9962277647149929,0.9959111499811075,0.9723935778991375,0.9451752943723154,0.9567464114832536,0.5158815979957581
intrusion_gb_v1,unsw_nb15_openml_diagnostic,1,xgboost,raw,32577,10860,189,0.6080297500011511,0.00340308400336653,0.0,,0.9962232820463959,"diagnostic seeded stratified 60/20/20 on OpenML UNSW_NB15 46301; source/destination IP, ports, timestamps, campaign files, and official raw split are unavailable in this transformed mirror, so this is not a leakage-safe primary IIoT result",0.9962804267332857,0.9960231295347347,0.9733199018439924,0.9469696763355991,0.9588516746411483,0.49282610416412354
intrusion_gb_v1,unsw_nb15_openml_diagnostic,7,catboost,gbfeat,32577,10860,201,0.7587353749986505,0.0034868330039898865,7.855979416999617,256.0,0.9954912196688802,"diagnostic seeded stratified 60/20/20 on OpenML UNSW_NB15 46301; source/destination IP, ports, timestamps, campaign files, and official raw split are unavailable in this transformed mirror, so this is not a leakage-safe primary IIoT result",0.9950091823058478,0.9946787295737933,0.9674139307753731,0.9351195299465329,0.9534928229665072,0.45240564606510303
