experiment,domain,dataset,seed,model,variant,fit_samples,train_samples,test_samples,n_features,fit_seconds,predict_seconds,split_protocol,accuracy,macro_f1,balanced_accuracy,mcc,minority_recall,g_mean,gb_feature_seconds,n_regions,fit_subset
unsupervised_local_structure_v1,industrial_tabular,aps_failure,1,catboost,kmeansfeat,48000,48000,16000,180,2.051062541999272,0.0077857080032117665,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.978125,0.828310832445966,0.9588693333333334,0.6887573294697953,0.9386666666666666,0.958656482097037,1.1294652910000877,11.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,1,catboost,raw,48000,48000,16000,170,1.5628485420020297,0.0036467919999267906,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.978875,0.8329724079559986,0.961856,0.6971786198656262,0.944,0.9616902453493016,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,1,catboost,ugbfeat,48000,48000,16000,180,1.900029791999259,0.007726666997768916,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9795,0.8354812518221517,0.958272,0.6998015002787634,0.936,0.9580131439599354,1.1294652910000877,11.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,1,extra_trees,kmeansfeat,48000,48000,16000,180,3.3687272499955725,0.07189987499441486,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989875,0.8671934931369983,0.8061226666666667,0.7513131967679747,0.6133333333333333,0.7827298554844235,1.1294652910000877,11.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,1,extra_trees,raw,48000,48000,16000,170,2.542114665993722,0.03765883299638517,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9895,0.8609598405672838,0.7981226666666668,0.7405899099335838,0.5973333333333334,0.772452868896651,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,1,extra_trees,ugbfeat,48000,48000,16000,180,2.7835975420020986,0.058830209003644995,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9889375,0.8513818886685565,0.7861226666666667,0.7242284953408097,0.5733333333333334,0.7567757571874688,1.1294652910000877,11.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,1,lightgbm,kmeansfeat,48000,48000,16000,180,2.1932007090072148,0.029011541002546437,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99075,0.9055881000179256,0.9341013333333333,0.8131297742658229,0.8746666666666667,0.9322085717978211,1.1294652910000877,11.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,1,lightgbm,raw,48000,48000,16000,170,1.9057959580022725,0.025201333002769388,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9910625,0.9091080668934437,0.9394666666666667,0.8203955524607041,0.8853333333333333,0.9379057521947501,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,1,lightgbm,ugbfeat,48000,48000,16000,180,1.9639057079984923,0.02709504200174706,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9909375,0.907164347395974,0.9341973333333333,0.8160897245752209,0.8746666666666667,0.9322986417094757,1.1294652910000877,11.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,1,random_forest,kmeansfeat,48000,48000,16000,180,7.8714762089948636,0.04599366700131213,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.988,0.8342317841128001,0.7648213333333334,0.6959324500183337,0.5306666666666666,0.7280956420690897,1.1294652910000877,11.0,12000.0
