dataset,seed,method,score,target_coverage,threshold,test_coverage,test_risk
iris,1,gb_fixed_p090,train_purity,0.8,0.9285714285714286,0.8518518518518519,0.04347826086956519
iris,1,gb_fixed_p090,train_purity,0.9,0.9166666666666666,1.0,0.03703703703703709
iris,1,gb_fixed_p090,cal_purity,0.8,0.7142857142857143,1.0,0.03703703703703709
iris,1,gb_fixed_p090,cal_purity,0.9,0.7142857142857143,1.0,0.03703703703703709
iris,1,gb_fixed_p090,laplace_purity,0.8,0.6666666666666666,1.0,0.03703703703703709
iris,1,gb_fixed_p090,laplace_purity,0.9,0.6666666666666666,1.0,0.03703703703703709
iris,1,gb_fixed_p090,wilson_lower,0.8,0.40031061080916697,0.8148148148148148,0.045454545454545414
iris,1,gb_fixed_p090,wilson_lower,0.9,0.22360679774997896,1.0,0.03703703703703709
iris,1,gb_adaptive_parameter_free,train_purity,0.8,1.0,1.0,0.0
iris,1,gb_adaptive_parameter_free,train_purity,0.9,1.0,1.0,0.0
iris,1,gb_adaptive_parameter_free,cal_purity,0.8,1.0,1.0,0.0
iris,1,gb_adaptive_parameter_free,cal_purity,0.9,1.0,1.0,0.0
iris,1,gb_adaptive_parameter_free,laplace_purity,0.8,0.6666666666666666,1.0,0.0
iris,1,gb_adaptive_parameter_free,laplace_purity,0.9,0.6666666666666666,1.0,0.0
iris,1,gb_adaptive_parameter_free,wilson_lower,0.8,0.22360679774997896,1.0,0.0
iris,1,gb_adaptive_parameter_free,wilson_lower,0.9,0.22360679774997896,1.0,0.0
iris,7,gb_fixed_p090,train_purity,0.8,1.0,0.8928571428571429,0.040000000000000036
iris,7,gb_fixed_p090,train_purity,0.9,1.0,0.8928571428571429,0.040000000000000036
iris,7,gb_fixed_p090,cal_purity,0.8,1.0,0.9285714285714286,0.038461538461538436
iris,7,gb_fixed_p090,cal_purity,0.9,0.0,1.0,0.0714285714285714
iris,7,gb_fixed_p090,laplace_purity,0.8,0.8,0.9285714285714286,0.038461538461538436
