dataset,seed,adaptive_minus_cart_optimism,adaptive_overlap,adaptive_high_small_gap,adaptive_high_small_mass
breast_cancer,1,-0.051420217209690804,0.9237536656891496,0.0,0.0964912280701754
breast_cancer,7,-0.06590139623380618,0.9648093841642228,0.02439024390243903,0.35964912280701733
breast_cancer,21,-0.04605263157894732,0.967741935483871,0.03703703703703705,0.4736842105263155
digits,1,-0.07361111111110988,0.9879294336118848,0.07346938775510231,0.680555555555548
digits,7,-0.053472222222220575,0.9925719591457752,0.12500000000000067,0.6666666666666603
digits,21,-0.11249999999999881,0.9916434540389972,0.08914728682170543,0.7166666666666587
dry_bean,1,-0.010555555555555401,1.0,0.09883720930232526,0.9555555555555387
dry_bean,7,-0.004166666666666041,1.0,0.12209302325581409,0.9555555555555386
dry_bean,21,-0.00555555555555462,0.9972222222222222,0.0959302325581395,0.9555555555555375
iris,1,-0.03333333333333327,1.0,0.06666666666666665,0.9999999999999991
iris,7,2.7755575615628914e-17,1.0,0.03333333333333333,0.999999999999999
iris,21,0.03333333333333335,1.0,0.06666666666666665,0.9999999999999992
wine,1,-0.11111111111111105,0.981132075471698,0.0,0.7777777777777766
wine,7,-0.027777777777777773,1.0,0.03571428571428574,0.7777777777777765
wine,21,-0.055555555555555476,1.0,0.0,0.7777777777777768
