dataset,seed,method,weighted_train_optimism,weighted_calibration_error,high_purity_small_gap,high_purity_small_mass,native_construction_overlap,mean_structure_support,min_structure_support,ball_count
breast_cancer,1,cart_matched_adaptive_leaf_count,0.08771929824561395,-0.00046015994818940934,0.5,0.087719298245614,1.0,33.0,1,10
breast_cancer,1,cart_matched_leaf_count,0.020330715822009182,-0.022174922600619217,,0.0,1.0,170.5,118,2
breast_cancer,1,gb_adaptive_parameter_free,0.03629908103592314,0.01266846361185984,0.0,0.0964912280701754,0.9237536656891496,9.10344827586207,2,29
breast_cancer,1,gb_fixed_p090,0.026501733932074455,-0.038499025341130595,,0.0,0.9325513196480938,170.5,119,2
breast_cancer,1,kmeans_matched_adaptive_gb,0.03580075182242364,0.008513708513708513,0.0,0.45614035087719274,1.0,6.0227272727272725,1,44
breast_cancer,1,kmeans_matched_fixed_gb,0.04362057767630514,-0.02618031565399983,,0.0,1.0,170.5,119,2
breast_cancer,7,cart_matched_adaptive_leaf_count,0.09649122807017542,-0.0027190454450340736,0.5,0.1578947368421052,1.0,25.76923076923077,1,13
breast_cancer,7,cart_matched_leaf_count,0.09649122807017542,-0.0027190454450340736,0.5,0.1578947368421052,1.0,25.76923076923077,1,13
breast_cancer,7,gb_adaptive_parameter_free,0.030589831836369236,0.0259433962264151,0.02439024390243903,0.35964912280701733,0.9648093841642228,6.317073170731708,1,41
breast_cancer,7,gb_fixed_p090,0.007269348938155061,0.04617098301308823,0.0,0.0087719298245614,0.841642228739003,65.0,2,5
breast_cancer,7,kmeans_matched_adaptive_gb,-0.0036283891547049356,-0.01907216494845361,0.0,0.4736842105263155,1.0,5.235294117647059,1,51
breast_cancer,7,kmeans_matched_fixed_gb,-0.008105164249595084,-0.024024024024024024,0.0,0.0263157894736842,1.0,21.0625,5,16
breast_cancer,21,cart_matched_adaptive_leaf_count,0.07017543859649118,-0.03465391997502088,0.1818181818181818,0.0964912280701754,1.0,28.0,1,12
breast_cancer,21,cart_matched_leaf_count,0.0279489473555107,-0.009618836092789528,,0.0,1.0,170.5,127,2
breast_cancer,21,gb_adaptive_parameter_free,0.024122807017543862,-0.02704081632653061,0.03703703703703705,0.4736842105263155,0.967741935483871,4.738095238095238,1,42
breast_cancer,21,gb_fixed_p090,0.0007141748175748531,-0.010336298261994881,,0.0,0.9501466275659824,170.5,115,2
breast_cancer,21,kmeans_matched_adaptive_gb,0.003508771929824562,-0.024691358024691357,0.029850746268656716,0.5877192982456138,1.0,3.390625,1,64
breast_cancer,21,kmeans_matched_fixed_gb,0.008843144799281749,-0.008699955015744474,,0.0,1.0,170.5,115,2
digits,1,cart_matched_adaptive_leaf_count,0.1444444444444434,0.009660653369535224,0.4705882352941169,0.14166666666666414,1.0,16.0,1,60
digits,1,cart_matched_leaf_count,0.1444444444444434,0.009660653369535224,0.4705882352941169,0.14166666666666414,1.0,16.0,1,60
digits,1,gb_adaptive_parameter_free,0.07083333333333353,-0.029349767774205095,0.07346938775510231,0.680555555555548,0.9879294336118848,3.58273381294964,1,139
digits,1,gb_fixed_p090,0.057463289033093536,0.0045770188374437085,0.088888888888888,0.1249999999999983,0.9377901578458682,15.423728813559322,1,59
digits,1,kmeans_matched_adaptive_gb,0.02347222222222211,0.004651162790697811,0.03225806451612901,0.8611111111110965,1.0,2.4695652173913043,1,230
digits,1,kmeans_matched_fixed_gb,0.00820175966009302,-0.010355029585798618,0.02564102564102549,0.21666666666666382,1.0,7.456,1,125
digits,7,cart_matched_adaptive_leaf_count,0.16111111111110987,0.005052685511790527,0.5172413793103441,0.1611111111111083,1.0,14.865671641791044,1,67
digits,7,cart_matched_leaf_count,0.16111111111110987,0.005052685511790527,0.5172413793103441,0.1611111111111083,1.0,14.865671641791044,1,67
digits,7,gb_adaptive_parameter_free,0.1076388888888893,0.023513945071322328,0.12500000000000067,0.6666666666666603,0.9925719591457752,3.9477611940298507,1,134
digits,7,gb_fixed_p090,0.08560061911390367,0.004540184186779067,0.12500000000000022,0.08888888888888759,0.9350046425255338,17.754716981132077,1,53
digits,7,kmeans_matched_adaptive_gb,0.024999999999999793,-0.012461059190031232,0.027355623100303754,0.9138888888888737,1.0,2.4725738396624473,1,237
digits,7,kmeans_matched_fixed_gb,0.012613790530457174,0.008258258258258466,0.06349206349206347,0.17499999999999827,1.0,9.235849056603774,1,106
digits,21,cart_matched_adaptive_leaf_count,0.18333333333333204,0.04169300587367775,0.666666666666666,0.14999999999999764,1.0,15.887096774193548,1,62
digits,21,cart_matched_leaf_count,0.17858585858585743,0.04453664680580333,0.6666666666666661,0.1416666666666645,1.0,16.229508196721312,1,61
digits,21,gb_adaptive_parameter_free,0.07083333333333323,0.015909929863418194,0.08914728682170543,0.7166666666666587,0.9916434540389972,3.6933333333333334,1,150
digits,21,gb_fixed_p090,0.06005686401955206,-0.006179314512647816,0.0,0.04444444444444359,0.9285051067780872,20.543478260869566,2,46
digits,21,kmeans_matched_adaptive_gb,0.019398148148148102,-0.006392694063926984,0.028391167192429016,0.8805555555555417,1.0,2.5462555066079293,1,227
digits,21,kmeans_matched_fixed_gb,0.020261674063911026,0.023881455905625043,0.05263157894736897,0.052777777777776994,1.0,11.044943820224718,2,89
dry_bean,1,cart_matched_adaptive_leaf_count,0.10555555555555499,0.006166657072488416,0.4523809523809525,0.11666666666666499,1.0,22.22222222222222,1,45
dry_bean,1,cart_matched_leaf_count,0.10555555555555499,0.006166657072488416,0.4523809523809525,0.11666666666666499,1.0,22.22222222222222,1,45
