dataset,seed,method,target_coverage,risk_train,risk_cal,risk_laplace,risk_wilson,coverage_train,coverage_cal,cal_minus_train_risk,laplace_minus_train_risk,wilson_minus_train_risk
breast_cancer,1,gb_adaptive_parameter_free,0.8,0.0103092783505154,0.0105263157894737,0.0123456790123457,0.0123456790123457,0.9150943396226416,0.8962264150943396,0.00021703743895830005,0.0020364006618302996,0.0020364006618302996
breast_cancer,1,gb_adaptive_parameter_free,0.9,0.03,0.0388349514563106,0.0388349514563106,0.0384615384615384,0.9433962264150944,0.9716981132075472,0.008834951456310601,0.008834951456310601,0.008461538461538402
breast_cancer,1,gb_fixed_p090,0.8,0.0964912280701754,0.0964912280701754,0.0964912280701754,0.0964912280701754,1.0,1.0,0.0,0.0,0.0
breast_cancer,1,gb_fixed_p090,0.9,0.0964912280701754,0.0964912280701754,0.0964912280701754,0.0964912280701754,1.0,1.0,0.0,0.0,0.0
breast_cancer,7,gb_adaptive_parameter_free,0.8,0.0326086956521739,0.0388349514563106,0.0459770114942529,0.0459770114942529,0.8679245283018868,0.9716981132075472,0.006226255804136702,0.013368315842079002,0.013368315842079002
breast_cancer,7,gb_adaptive_parameter_free,0.9,0.0326086956521739,0.0388349514563106,0.0384615384615384,0.0454545454545454,0.8679245283018868,0.9716981132075472,0.006226255804136702,0.005852842809364503,0.012845849802371502
breast_cancer,7,gb_fixed_p090,0.8,0.0701754385964912,0.0701754385964912,0.0754716981132075,0.0754716981132075,1.0,1.0,0.0,0.005296259516716306,0.005296259516716306
breast_cancer,7,gb_fixed_p090,0.9,0.0701754385964912,0.0701754385964912,0.0754716981132075,0.0754716981132075,1.0,1.0,0.0,0.005296259516716306,0.005296259516716306
breast_cancer,21,gb_adaptive_parameter_free,0.8,0.031578947368421,0.0238095238095238,0.0337078651685393,0.0389610389610389,0.9693877551020408,0.8571428571428571,-0.007769423558897197,0.002128917800118299,0.0073820915926178995
breast_cancer,21,gb_adaptive_parameter_free,0.9,0.031578947368421,0.0337078651685393,0.0337078651685393,0.0337078651685393,0.9693877551020408,0.9081632653061223,0.002128917800118299,0.002128917800118299,0.002128917800118299
breast_cancer,21,gb_fixed_p090,0.8,0.087719298245614,0.087719298245614,0.087719298245614,0.087719298245614,1.0,1.0,0.0,0.0,0.0
