dataset,source,generator,implementation,decision_rule,perturbation_type,perturbation_strength,seed,n_common_samples,ari,nmi,vi,prediction_agreement,accuracy_original,accuracy_perturbed,accuracy_change,ball_count_original,ball_count_perturbed
iris,sklearn.load_iris,tree_kmeans_binary,repository_cleanroom,nearest_center,label_flip,0.05,101,112,0.8859331797777683,0.9082080397895008,0.413654430967064,1.0,0.8947368421052632,0.8947368421052632,0.0,13,23
iris,sklearn.load_iris,tree_class_means_binary,repository_cleanroom,nearest_center,label_flip,0.05,101,112,0.8464460839395826,0.8593691967954903,0.5382321293042365,0.9210526315789473,0.9210526315789473,0.8421052631578947,0.07894736842105265,7,12
iris,sklearn.load_iris,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,label_flip,0.05,101,112,0.7887550550071748,0.7924200564234068,0.9291171805414682,0.8947368421052632,0.9210526315789473,0.8157894736842105,0.10526315789473684,10,27
iris,sklearn.load_iris,gbc_confidence_bound_control,repository_internal_control,nearest_center,label_flip,0.05,101,112,0.9199435559736594,0.8949138198682247,0.5402594367413789,0.9473684210526315,0.8947368421052632,0.8421052631578947,0.052631578947368474,20,33
iris,sklearn.load_iris,tree_kmeans_binary,repository_cleanroom,nearest_center,label_flip,0.05,313,112,0.9249788648170133,0.9462973220857319,0.23226657189189126,0.9473684210526315,0.8947368421052632,0.8947368421052632,0.0,13,18
iris,sklearn.load_iris,tree_class_means_binary,repository_cleanroom,nearest_center,label_flip,0.05,313,112,0.8960188070907368,0.8744999225099184,0.4651741061862329,0.9736842105263158,0.9210526315789473,0.8947368421052632,0.02631578947368418,7,12
iris,sklearn.load_iris,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,label_flip,0.05,313,112,0.8879551046360545,0.892233347581894,0.4391899590036905,0.9736842105263158,0.9210526315789473,0.8947368421052632,0.02631578947368418,10,13
iris,sklearn.load_iris,gbc_confidence_bound_control,repository_internal_control,nearest_center,label_flip,0.05,313,112,0.32224178678789256,0.8000617779624544,1.1743844147826206,0.9473684210526315,0.8947368421052632,0.8421052631578947,0.052631578947368474,20,42
iris,sklearn.load_iris,tree_kmeans_binary,repository_cleanroom,nearest_center,label_flip,0.05,911,112,0.9971577056356076,0.9910087966569765,0.03713288467285558,0.8947368421052632,0.8947368421052632,0.8421052631578947,0.052631578947368474,13,15
iris,sklearn.load_iris,tree_class_means_binary,repository_cleanroom,nearest_center,label_flip,0.05,911,112,1.0,1.0,4.440892098500626e-16,1.0,0.9210526315789473,0.9210526315789473,0.0,7,7
iris,sklearn.load_iris,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,label_flip,0.05,911,112,0.930443914852365,0.8952930856780312,0.42526201431592625,0.9473684210526315,0.9210526315789473,0.9210526315789473,0.0,10,17
iris,sklearn.load_iris,gbc_confidence_bound_control,repository_internal_control,nearest_center,label_flip,0.05,911,112,0.38320622487890343,0.8170744451407919,1.0458091826823228,0.9473684210526315,0.8947368421052632,0.8947368421052632,0.0,20,40
iris,sklearn.load_iris,tree_kmeans_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,101,111,0.9133542029424312,0.923424486121797,0.30457037658766906,1.0,0.8947368421052632,0.8947368421052632,0.0,13,11
iris,sklearn.load_iris,tree_class_means_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,101,111,1.0,1.0,0.0,1.0,0.9210526315789473,0.9210526315789473,0.0,7,7
iris,sklearn.load_iris,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,sample_deletion,0.01,101,111,1.0,1.0,0.0,1.0,0.9210526315789473,0.9210526315789473,0.0,10,10
iris,sklearn.load_iris,gbc_confidence_bound_control,repository_internal_control,nearest_center,sample_deletion,0.01,101,111,0.9952513959962385,0.994361301080792,0.027154606216680754,1.0,0.8947368421052632,0.8947368421052632,0.0,20,19
iris,sklearn.load_iris,tree_kmeans_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,313,111,1.0,1.0,0.0,1.0,0.8947368421052632,0.8947368421052632,0.0,13,13
iris,sklearn.load_iris,tree_class_means_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,313,111,1.0,1.0,0.0,1.0,0.9210526315789473,0.9210526315789473,0.0,7,7
iris,sklearn.load_iris,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,sample_deletion,0.01,313,111,0.8877729454376294,0.8521515179316631,0.5843361146696857,0.9736842105263158,0.9210526315789473,0.8947368421052632,0.02631578947368418,10,10
iris,sklearn.load_iris,gbc_confidence_bound_control,repository_internal_control,nearest_center,sample_deletion,0.01,313,111,0.8539289384024661,0.8447519331587465,0.7221292116455404,0.9736842105263158,0.8947368421052632,0.9210526315789473,0.02631578947368418,20,16
iris,sklearn.load_iris,tree_kmeans_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,911,111,0.6765911081784467,0.7187834936581383,1.0592647463079952,0.8947368421052632,0.8947368421052632,0.8421052631578947,0.052631578947368474,13,11
iris,sklearn.load_iris,tree_class_means_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,911,111,1.0,1.0,0.0,1.0,0.9210526315789473,0.9210526315789473,0.0,7,7
iris,sklearn.load_iris,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,sample_deletion,0.01,911,111,0.8324707501993628,0.8752326815350729,0.43295205473987197,0.8947368421052632,0.9210526315789473,0.8157894736842105,0.10526315789473684,10,5
iris,sklearn.load_iris,gbc_confidence_bound_control,repository_internal_control,nearest_center,sample_deletion,0.01,911,111,1.0,1.0,0.0,1.0,0.8947368421052632,0.8947368421052632,0.0,20,20
sonar,UCI id=151 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,label_flip,0.05,101,156,0.9621996708565971,0.9822661211824354,0.12776518717591667,0.9423076923076923,0.8269230769230769,0.8076923076923077,0.019230769230769162,59,53
sonar,UCI id=151 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,label_flip,0.05,101,156,0.6575976828807963,0.8077041159188231,0.9708471198035413,0.8846153846153846,0.75,0.8269230769230769,0.07692307692307687,14,17
sonar,UCI id=151 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,label_flip,0.05,101,156,0.9663830995690512,0.9824134368509411,0.12441103240819462,0.9807692307692307,0.7884615384615384,0.7692307692307693,0.019230769230769162,54,57
sonar,UCI id=151 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,label_flip,0.05,101,156,0.8396359599226964,0.9723419250724132,0.22497040132927637,0.9615384615384616,0.8461538461538461,0.8461538461538461,0.0,71,80
sonar,UCI id=151 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,label_flip,0.05,313,156,0.9283129252691399,0.982243017995114,0.13203279354084785,0.9423076923076923,0.8269230769230769,0.8076923076923077,0.019230769230769162,59,65
sonar,UCI id=151 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,label_flip,0.05,313,156,0.6588728332902709,0.7912723645047924,1.04298264081626,0.8076923076923077,0.75,0.7884615384615384,0.038461538461538436,14,19
sonar,UCI id=151 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,label_flip,0.05,313,156,0.9567941569133299,0.9797785438501442,0.14453596101452426,0.9615384615384616,0.7884615384615384,0.75,0.038461538461538436,54,64
sonar,UCI id=151 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,label_flip,0.05,313,156,0.8882402335159343,0.9778287227232092,0.18053788975492058,0.9423076923076923,0.8461538461538461,0.8269230769230769,0.019230769230769273,71,84
sonar,UCI id=151 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,label_flip,0.05,911,156,0.874981631753392,0.9640334408660306,0.27248236516500945,0.9807692307692307,0.8269230769230769,0.8461538461538461,0.019230769230769273,59,73
sonar,UCI id=151 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,label_flip,0.05,911,156,0.7452986230862074,0.832230977125311,0.8506801102696633,0.9423076923076923,0.75,0.7692307692307693,0.019230769230769273,14,19
sonar,UCI id=151 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,label_flip,0.05,911,156,0.9486738988308347,0.9762928513554165,0.16946100254536312,0.9038461538461539,0.7884615384615384,0.6923076923076923,0.09615384615384615,54,63
sonar,UCI id=151 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,label_flip,0.05,911,156,0.7198245820957936,0.9624127499894253,0.30030483305691025,0.8461538461538461,0.8461538461538461,0.6923076923076923,0.15384615384615385,71,78
sonar,UCI id=151 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,101,154,0.36081594100230685,0.7651166002307583,1.5244280823526877,0.8653846153846154,0.8269230769230769,0.8461538461538461,0.019230769230769273,59,36
sonar,UCI id=151 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,101,154,0.9642945653546228,0.9778403701240691,0.10895521699864297,1.0,0.75,0.75,0.0,14,14
sonar,UCI id=151 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,sample_deletion,0.01,101,154,0.45264847512038525,0.8206700576114142,1.230177208505042,0.9230769230769231,0.7884615384615384,0.8269230769230769,0.038461538461538436,54,45
sonar,UCI id=151 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,sample_deletion,0.01,101,154,0.5345947303584456,0.8970777006804523,0.8055249925749886,0.9230769230769231,0.8461538461538461,0.8076923076923077,0.038461538461538436,71,65
sonar,UCI id=151 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,313,154,0.3719430204584317,0.8161987185919637,1.3188704509791727,0.9038461538461539,0.8269230769230769,0.8846153846153846,0.05769230769230771,59,52
sonar,UCI id=151 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,313,154,0.8984858703550564,0.949693249982377,0.24571866136614506,0.9423076923076923,0.75,0.7692307692307693,0.019230769230769273,14,13
sonar,UCI id=151 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,sample_deletion,0.01,313,154,0.5259396700762573,0.847402311426757,1.070807459108008,0.8269230769230769,0.7884615384615384,0.8461538461538461,0.05769230769230771,54,48
sonar,UCI id=151 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,sample_deletion,0.01,313,154,0.5254427644903579,0.8850624965431872,0.8880659101061399,0.9423076923076923,0.8461538461538461,0.8269230769230769,0.019230769230769273,71,59
sonar,UCI id=151 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,911,154,0.35361046992726797,0.8257153759723844,1.258079460930258,0.8461538461538461,0.8269230769230769,0.8269230769230769,0.0,59,53
sonar,UCI id=151 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,911,154,0.9132380258953101,0.9351362458719984,0.3111183410968792,0.9230769230769231,0.75,0.7115384615384616,0.038461538461538436,14,12
sonar,UCI id=151 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,sample_deletion,0.01,911,154,0.4114300617880647,0.8127837239295276,1.2752976435181944,0.9038461538461539,0.7884615384615384,0.7307692307692307,0.05769230769230771,54,48
sonar,UCI id=151 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,sample_deletion,0.01,911,154,0.5069387664906194,0.8861939600910547,0.8834066896010739,0.9807692307692307,0.8461538461538461,0.8269230769230769,0.019230769230769273,71,65
spambase,UCI id=94 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,label_flip,0.05,101,500,0.9994380588400377,0.9905593657265407,0.038333096975734726,0.952,0.766,0.766,0.0,60,66
spambase,UCI id=94 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,label_flip,0.05,101,500,1.0,1.0,1.1102230246251565e-15,1.0,0.872,0.872,0.0,2,2
